"CN 2008 - PRODCOM 2008",,
"Source","Target"
"0303 43 90","10.20.13.30"
"0303 44 11","10.20.13.30"
"0303 44 13","10.20.13.30"
"0303 44 19","10.20.13.30"
"0303 44 90","10.20.13.30"
"0303 45 11","10.20.13.30"
"0303 45 13","10.20.13.30"
"0303 45 19","10.20.13.30"
"0303 45 90","10.20.13.30"
"0303 46 11","10.20.13.30"
"0303 46 13","10.20.13.30"
"0303 46 19","10.20.13.30"
"0303 46 90","10.20.13.30"
"0303 49 31","10.20.13.30"
"0303 49 33","10.20.13.30"
"0303 49 39","10.20.13.30"
"0303 49 80","10.20.13.30"
"0303 51 00","10.20.13.30"
"0303 52 10","10.20.13.30"
"0303 52 30","10.20.13.30"
"0303 52 90","10.20.13.30"
"0303 61 00","10.20.13.30"
"0303 62 00","10.20.13.30"
"0303 71 10","10.20.13.30"
"0303 71 30","10.20.13.30"
"0303 71 80","10.20.13.30"
"0303 72 00","10.20.13.30"
"0303 73 00","10.20.13.30"
"0303 74 30","10.20.13.30"
"0303 74 90","10.20.13.30"
"0303 75 20","10.20.13.30"
"0303 75 50","10.20.13.30"
"0303 75 90","10.20.13.30"
"0303 76 00","10.20.13.30"
"0303 77 00","10.20.13.30"
"0303 78 11","10.20.13.30"
"0303 78 12","10.20.13.30"
"0303 78 13","10.20.13.30"
"0303 78 19","10.20.13.30"
"0303 78 90","10.20.13.30"
"0303 79 11","10.20.13.60"
"0303 79 19","10.20.13.60"
"0303 79 21","10.20.13.30"
"0303 79 23","10.20.13.30"
"0303 79 29","10.20.13.30"
"0303 79 31","10.20.13.30"
"0303 79 35","10.20.13.30"
"0303 79 37","10.20.13.30"
"0303 79 41","10.20.13.30"
"0303 79 45","10.20.13.30"
"0303 79 51","10.20.13.30"
"0303 79 55","10.20.13.30"
"0303 79 58","10.20.13.30"
"0303 79 65","10.20.13.30"
"0303 79 71","10.20.13.30"
"0303 79 75","10.20.13.30"
"0303 79 81","10.20.13.30"
"0303 79 83","10.20.13.30"
"0303 79 85","10.20.13.30"
"0303 79 91","10.20.13.30"
"0303 79 92","10.20.13.30"
"0303 79 93","10.20.13.30"
"0303 79 94","10.20.13.30"
"0303 79 98","10.20.13.30"
"0303 80 10","10.20.16.00"
"0303 80 90","10.20.16.00"
"0304 11 10","10.20.11.00"
"0304 11 90","10.20.11.00"
"0304 12 10","10.20.11.00"
"0304 12 90","10.20.11.00"
"0304 19 13","10.20.11.00"
"0304 19 15","10.20.11.00"
"0304 19 17","10.20.11.00"
"0304 19 19","10.20.11.00"
"0304 19 31","10.20.11.00"
"0304 19 33","10.20.11.00"
"0304 19 35","10.20.11.00"
"0304 19 39","10.20.11.00"
"0304 19 91","10.20.11.00"
"0304 19 97","10.20.11.00"
"0304 19 99","10.20.11.00"
"0304 21 00","10.20.14.00"
"0304 22 00","10.20.14.00"
"0304 29 13","10.20.14.00"
"0304 29 15","10.20.14.00"
"0304 29 17","10.20.14.00"
"0304 29 19","10.20.14.00"
"0304 29 21","10.20.14.00"
"0304 29 29","10.20.14.00"
"0304 29 31","10.20.14.00"
"0304 29 33","10.20.14.00"
"0304 29 35","10.20.14.00"
"0304 29 39","10.20.14.00"
"0304 29 41","10.20.14.00"
"0304 29 43","10.20.14.00"
"0304 29 45","10.20.14.00"
"0304 29 51","10.20.14.00"
"0304 29 53","10.20.14.00"
"0304 29 55","10.20.14.00"
"0304 29 56","10.20.14.00"
"0304 29 58","10.20.14.00"
"0304 29 59","10.20.14.00"
"0304 29 61","10.20.14.00"
"0304 29 69","10.20.14.00"
"0304 29 71","10.20.14.00"
"0304 29 73","10.20.14.00"
"0304 29 75","10.20.14.00"
"0304 29 79","10.20.14.00"
"0304 29 83","10.20.14.00"
"0304 29 85","10.20.14.00"
"0304 29 91","10.20.14.00"
"0304 29 99","10.20.14.00"
"0304 91 00","10.20.15.00"
"0304 92 00","10.20.15.00"
"0304 99 10","10.20.15.00"
"0304 99 21","10.20.15.00"
"0304 99 23","10.20.15.00"
"0304 99 29","10.20.15.00"
"0304 99 31","10.20.15.00"
"0304 99 33","10.20.15.00"
"0304 99 39","10.20.15.00"
"0304 99 41","10.20.15.00"
"0304 99 45","10.20.15.00"
"0304 99 51","10.20.15.00"
"0304 99 55","10.20.15.00"
"0304 99 61","10.20.15.00"
"0304 99 65","10.20.15.00"
"0304 99 71","10.20.15.00"
"0304 99 75","10.20.15.00"
"0304 99 99","10.20.15.00"
"0305 10 00","10.20.22.00"
"0305 20 00","10.20.22.00"
"0305 30 11","10.20.21.00"
"0305 30 19","10.20.21.00"
"0305 30 30","10.20.21.00"
"0305 30 50","10.20.21.00"
"0305 30 90","10.20.21.00"
"0305 41 00","10.20.24.20"
"0305 42 00","10.20.24.50"
"0305 49 10","10.20.24.80"
"0305 49 20","10.20.24.80"
"0305 49 30","10.20.24.80"
"0305 49 45","10.20.24.80"
"0305 49 50","10.20.24.80"
"0305 49 80","10.20.24.80"
"0305 51 10","10.20.23.00"
"0305 51 90","10.20.23.00"
"0305 59 11","10.20.23.00"
"0305 59 19","10.20.23.00"
"0305 59 30","10.20.23.00"
"0305 59 50","10.20.23.00"
