"CN 2006 - PRODCOM 2006",,
"Source","Target"
"0207 36 51","15.12.12.57"
"0207 36 53","15.12.12.57"
"0207 36 61","15.12.12.57"
"0207 36 63","15.12.12.57"
"0207 36 71","15.12.12.57"
"0207 36 79","15.12.12.57"
"0207 36 81","15.12.12.75"
"0207 36 85","15.12.12.75"
"0207 36 89","15.12.12.75"
"0207 36 90","15.12.12.71"
"0208 10 11","15.12.13.00"
"0208 10 19","15.12.13.00"
"0208 10 90","15.12.13.00"
"0208 30 00","15.12.13.00"
"0208 40 10","15.12.13.00"
"0208 40 90","15.12.13.00"
"0208 50 00","15.12.13.00"
"0208 90 10","15.12.13.00"
"0208 90 20","15.12.13.00"
"0208 90 40","15.12.13.00"
"0208 90 55","15.12.13.00"
"0208 90 60","15.12.13.00"
"0208 90 95","15.12.13.00"
"0209 00 11","15.11.30.40"
"0209 00 19","15.11.30.40"
"0209 00 30","15.11.30.40"
"0209 00 90","15.12.14.00"
"0210 11 11","15.13.11.10"
"0210 11 19","15.13.11.10"
"0210 11 31","15.13.11.10"
"0210 11 39","15.13.11.10"
"0210 11 90","15.13.11.10"
"0210 12 11","15.13.11.30"
"0210 12 19","15.13.11.30"
"0210 12 90","15.13.11.30"
"0210 19 10","15.13.11.50"
"0210 19 20","15.13.11.50"
"0210 19 30","15.13.11.50"
"0210 19 40","15.13.11.50"
"0210 19 50","15.13.11.50"
"0210 19 60","15.13.11.50"
"0210 19 70","15.13.11.50"
"0210 19 81","15.13.11.50"
"0210 19 89","15.13.11.50"
"0210 19 90","15.13.11.50"
"0210 20 10","15.13.11.70"
"0210 20 90","15.13.11.70"
"0210 91 00","15.13.11.90"
"0210 92 00","15.13.11.90"
"0210 93 00","15.13.11.90"
"0210 99 10","15.13.11.90"
"0210 99 21","15.13.11.90"
"0210 99 29","15.13.11.90"
"0210 99 31","15.13.11.90"
"0210 99 39","15.13.11.90"
"0210 99 41","15.13.11.90"
"0210 99 49","15.13.11.90"
"0210 99 51","15.13.11.90"
"0210 99 59","15.13.11.90"
"0210 99 60","15.13.11.90"
"0210 99 71","15.13.11.90"
"0210 99 79","15.13.11.90"
"0210 99 80","15.13.11.90"
"0210 99 90","15.13.11.90"
"0302 70 00","15.20.11.30"
"0303 11 00","15.20.12.10"
"0303 19 00","15.20.12.10"
"0303 21 10","15.20.12.10"
"0303 21 20","15.20.12.10"
"0303 21 80","15.20.12.10"
"0303 22 00","15.20.12.10"
"0303 29 00","15.20.12.10"
"0303 31 10","15.20.12.10"
"0303 31 30","15.20.12.10"
"0303 31 90","15.20.12.10"
"0303 32 00","15.20.12.10"
"0303 33 00","15.20.12.10"
"0303 39 10","15.20.12.10"
"0303 39 30","15.20.12.10"
"0303 39 70","15.20.12.10"
"0303 41 11","15.20.12.10"
"0303 41 13","15.20.12.10"
"0303 41 19","15.20.12.10"
"0303 41 90","15.20.12.10"
"0303 42 12","15.20.12.10"
"0303 42 18","15.20.12.10"
"0303 42 32","15.20.12.10"
"0303 42 38","15.20.12.10"
"0303 42 52","15.20.12.10"
"0303 42 58","15.20.12.10"
"0303 42 90","15.20.12.10"
"0303 43 11","15.20.12.10"
"0303 43 13","15.20.12.10"
"0303 43 19","15.20.12.10"
"0303 43 90","15.20.12.10"
"0303 44 11","15.20.12.10"
"0303 44 13","15.20.12.10"
"0303 44 19","15.20.12.10"
"0303 44 90","15.20.12.10"
"0303 45 11","15.20.12.10"
"0303 45 13","15.20.12.10"
"0303 45 19","15.20.12.10"
"0303 45 90","15.20.12.10"
"0303 46 11","15.20.12.10"
"0303 46 13","15.20.12.10"
"0303 46 19","15.20.12.10"
"0303 46 90","15.20.12.10"
"0303 49 31","15.20.12.10"
"0303 49 33","15.20.12.10"
"0303 49 39","15.20.12.10"
"0303 49 80","15.20.12.10"
"0303 50 00","15.20.12.10"
"0303 60 11","15.20.12.10"
"0303 60 19","15.20.12.10"
"0303 60 90","15.20.12.10"
"0303 71 10","15.20.12.10"
"0303 71 30","15.20.12.10"
"0303 71 80","15.20.12.10"
"0303 72 00","15.20.12.10"
"0303 73 00","15.20.12.10"
"0303 74 30","15.20.12.10"
"0303 74 90","15.20.12.10"
"0303 75 20","15.20.12.10"
"0303 75 50","15.20.12.10"
"0303 75 90","15.20.12.10"
"0303 76 00","15.20.12.10"
"0303 77 00","15.20.12.10"
"0303 78 11","15.20.12.10"
"0303 78 12","15.20.12.10"
"0303 78 13","15.20.12.10"
"0303 78 19","15.20.12.10"
"0303 78 90","15.20.12.10"
"0303 79 11","15.20.12.30"
"0303 79 19","15.20.12.30"
"0303 79 21","15.20.12.10"
"0303 79 23","15.20.12.10"
"0303 79 29","15.20.12.10"
"0303 79 31","15.20.12.10"
"0303 79 35","15.20.12.10"
"0303 79 37","15.20.12.10"
"0303 79 41","15.20.12.10"
"0303 79 45","15.20.12.10"
"0303 79 51","15.20.12.10"
"0303 79 55","15.20.12.10"
"0303 79 58","15.20.12.10"
"0303 79 65","15.20.12.10"
"0303 79 71","15.20.12.10"
"0303 79 75","15.20.12.10"
"0303 79 81","15.20.12.10"
"0303 79 83","15.20.12.10"
"0303 79 85","15.20.12.10"
"0303 79 87","15.20.12.10"
"0303 79 88","15.20.12.10"
"0303 79 91","15.20.12.10"
"0303 79 92","15.20.12.10"
"0303 79 93","15.20.12.10"
"0303 79 94","15.20.12.10"
"0303 79 98","15.20.12.10"
"0303 80 10","15.20.12.50"
"0303 80 90","15.20.12.50"
"0304 10 13","15.20.11.90"
"0304 10 15","15.20.11.90"
"0304 10 17","15.20.11.90"
"0304 10 19","15.20.11.90"
"0304 10 31","15.20.11.90"
"0304 10 33","15.20.11.90"
"0304 10 35","15.20.11.90"
"0304 10 38","15.20.11.90"
"0304 10 91","15.20.11.90"
"0304 10 97","15.20.11.90"
"0304 10 98","15.20.11.90"
"0304 20 13","15.20.12.70"
"0304 20 15","15.20.12.70"
"0304 20 17","15.20.12.70"
"0304 20 19","15.20.12.70"
"0304 20 21","15.20.12.70"
"0304 20 29","15.20.12.70"
"0304 20 31","15.20.12.70"
"0304 20 33","15.20.12.70"
"0304 20 35","15.20.12.70"
"0304 20 37","15.20.12.70"
"0304 20 41","15.20.12.70"
"0304 20 43","15.20.12.70"
"0304 20 45","15.20.12.70"
"0304 20 51","15.20.12.70"
"0304 20 53","15.20.12.70"
"0304 20 55","15.20.12.70"
"0304 20 56","15.20.12.70"
"0304 20 58","15.20.12.70"
"0304 20 59","15.20.12.70"
"0304 20 61","15.20.12.70"
"0304 20 69","15.20.12.70"
"0304 20 71","15.20.12.70"
"0304 20 73","15.20.12.70"
"0304 20 75","15.20.12.70"
"0304 20 79","15.20.12.70"
"0304 20 83","15.20.12.70"
"0304 20 85","15.20.12.70"
"0304 20 87","15.20.12.70"
"0304 20 88","15.20.12.70"
"0304 20 91","15.20.12.70"
"0304 20 94","15.20.12.70"
"0304 90 05","15.20.12.90"
"0304 90 10","15.20.12.90"
"0304 90 22","15.20.12.90"
"0304 90 31","15.20.12.90"
"0304 90 35","15.20.12.90"
"0304 90 38","15.20.12.90"
"0304 90 39","15.20.12.90"
"0304 90 41","15.20.12.90"
"0304 90 45","15.20.12.90"
"0304 90 48","15.20.12.90"
"0304 90 51","15.20.12.90"
"0304 90 55","15.20.12.90"
"0304 90 57","15.20.12.90"
"0304 90 59","15.20.12.90"
"0304 90 61","15.20.12.90"
"0304 90 65","15.20.12.90"
"0304 90 97","15.20.12.90"
"0305 10 00","15.20.13.10"
"0305 20 00","15.20.13.10"
"0305 30 11","15.20.13.30"
"0305 30 19","15.20.13.30"
"0305 30 30","15.20.13.30"
"0305 30 50","15.20.13.30"
"0305 30 90","15.20.13.30"
"0305 41 00","15.20.13.53"
"0305 42 00","15.20.13.55"
"0305 49 10","15.20.13.59"
"0305 49 20","15.20.13.59"
"0305 49 30","15.20.13.59"
"0305 49 45","15.20.13.59"
"0305 49 50","15.20.13.59"
"0305 49 80","15.20.13.59"
"0305 51 10","15.20.13.70"
"0305 51 90","15.20.13.70"
"0305 59 11","15.20.13.70"
"0305 59 19","15.20.13.70"
"0305 59 30","15.20.13.70"
"0305 59 50","15.20.13.70"
"0305 59 70","15.20.13.70"
"0305 59 80","15.20.13.70"
"0305 61 00","15.20.13.70"
"0305 62 00","15.20.13.70"
"0305 63 00","15.20.13.70"
"0305 69 10","15.20.13.70"
"0305 69 30","15.20.13.70"
"0305 69 50","15.20.13.70"
"0305 69 80","15.20.13.70"
"0306 11 10","15.20.15.30"
"0306 11 90","15.20.15.30"
"0306 12 10","15.20.15.30"
"0306 12 90","15.20.15.30"
"0306 13 10","15.20.15.30"
"0306 13 30","15.20.15.30"
"0306 13 40","15.20.15.30"
"0306 13 50","15.20.15.30"
"0306 13 80","15.20.15.30"
"0306 14 10","15.20.15.30"
"0306 14 30","15.20.15.30"
"0306 14 90","15.20.15.30"
"0306 19 10","15.20.15.30"
"0306 19 30","15.20.15.30"
"0306 19 90","15.20.15.30"
"0307 29 10","15.20.15.53"
"0307 29 90","15.20.15.53"
"0307 39 10","15.20.15.53"
"0307 39 90","15.20.15.53"
"0307 49 01","15.20.15.59"
"0307 49 11","15.20.15.59"
"0307 49 18","15.20.15.59"
"0307 49 31","15.20.15.59"
"0307 49 33","15.20.15.59"
"0307 49 35","15.20.15.59"
"0307 49 38","15.20.15.59"
"0307 49 51","15.20.15.59"
"0307 49 59","15.20.15.59"
"0307 49 71","15.20.15.59"
"0307 49 91","15.20.15.59"
"0307 49 99","15.20.15.59"
"0307 59 10","15.20.15.59"
"0307 59 90","15.20.15.59"
"0307 99 11","15.20.15.59"
"0307 99 13","15.20.15.59"
"0307 99 15","15.20.15.59"
"0307 99 18","15.20.15.59"
"0307 99 90","15.20.15.59"
"0401 10 10","15.51.11.33"
"0401 10 90","15.51.11.37"
"0401 20 11","15.51.11.42"
"0401 20 19","15.51.11.48"
"0401 20 91","15.51.11.42"
"0401 20 99","15.51.11.48"
"0401 30 11","15.51.12.10"
"0401 30 19","15.51.12.20"
"0401 30 31","15.51.12.30"
"0401 30 39","15.51.12.40"
"0401 30 91","15.51.12.30"
"0401 30 99","15.51.12.40"
"0402 10 11","15.51.20.33"
"0402 10 19","15.51.20.37"
"0402 10 91","15.51.20.33"
"0402 10 99","15.51.20.37"
"0402 21 11","15.51.20.63"
"0402 21 17","15.51.20.67"
"0402 21 19","15.51.20.67"
"0402 21 91","15.51.20.63"
"0402 21 99","15.51.20.67"
"0402 29 11","15.51.20.63"
"0402 29 15","15.51.20.63"
"0402 29 19","15.51.20.67"
"0402 29 91","15.51.20.63"
"0402 29 99","15.51.20.67"
"0402 91 11","15.51.51.04"
"0402 91 19","15.51.51.04"
"0402 91 31","15.51.51.04"
"0402 91 39","15.51.51.04"
"0402 91 51","15.51.51.04"
"0402 91 59","15.51.51.04"
"0402 91 91","15.51.51.04"
"0402 91 99","15.51.51.04"
"0402 99 11","15.51.51.08"
"0402 99 19","15.51.51.08"
"0402 99 31","15.51.51.08"
"0402 99 39","15.51.51.08"
"0402 99 91","15.51.51.08"
"0402 99 99","15.51.51.08"
"0403 10 11","15.51.52.41"
"0403 10 13","15.51.52.41"
"0403 10 19","15.51.52.41"
"0403 10 31","15.51.52.41"
"0403 10 33","15.51.52.41"
"0403 10 39","15.51.52.41"
"0403 10 51","15.51.52.41"
"0403 10 53","15.51.52.41"
"0403 10 59","15.51.52.41"
"0403 10 91","15.51.52.45"
"0403 10 93","15.51.52.45"
"0403 10 99","15.51.52.45"
"0403 90 11","15.51.52.63"
"0403 90 13","15.51.52.41"
"0403 90 19","15.51.52.41"
"0403 90 31","15.51.52.41"
"0403 90 33","15.51.52.41"
"0403 90 39","15.51.52.41"
"0403 90 51","15.51.52.65"
"0403 90 53","15.51.52.41"
"0403 90 59","15.51.52.41"
"0403 90 61","15.51.52.41"
"0403 90 63","15.51.52.41"
"0403 90 69","15.51.52.41"
"0403 90 71","15.51.52.41"
"0403 90 73","15.51.52.41"
"0403 90 79","15.51.52.41"
"0403 90 91","15.51.52.45"
"0403 90 93","15.51.52.45"
"0403 90 99","15.51.52.45"
"0404 10 02","15.51.55.33"
"0404 10 04","15.51.55.33"
"0404 10 06","15.51.55.33"
"0404 10 12","15.51.55.33"
"0404 10 14","15.51.55.33"
"0404 10 16","15.51.55.33"
"0404 10 26","15.51.55.33"
"0404 10 28","15.51.55.33"
"0404 10 32","15.51.55.33"
"0404 10 34","15.51.55.33"
"0404 10 36","15.51.55.33"
"0404 10 38","15.51.55.33"
"0404 10 48","15.51.55.40"
"0404 10 52","15.51.55.40"
"0404 10 54","15.51.55.40"
"0404 10 56","15.51.55.40"
"0404 10 58","15.51.55.40"
"0404 10 62","15.51.55.40"
"0404 10 72","15.51.55.40"
"0404 10 74","15.51.55.40"
"0404 10 76","15.51.55.40"
"0404 10 78","15.51.55.40"
"0404 10 82","15.51.55.40"
"0404 10 84","15.51.55.40"
"0404 90 21","15.51.55.90"
"0404 90 23","15.51.55.90"
"0404 90 29","15.51.55.90"
"0404 90 81","15.51.55.90"
"0404 90 83","15.51.55.90"
"0404 90 89","15.51.55.90"
"0405 10 11","15.51.30.30"
"0405 10 19","15.51.30.30"
"0405 10 30","15.51.30.30"
"0405 10 50","15.51.30.30"
"0405 10 90","15.51.30.50"
"0405 20 10","15.51.30.70"
"0405 20 30","15.51.30.70"
"0405 20 90","15.51.30.70"
"0405 90 10","15.51.30.50"
"0405 90 90","15.51.30.50"
"0406 10 20","15.51.40.30"
"0406 10 80","15.51.40.30"
"0406 20 10","15.51.40.50"
"0406 20 90","15.51.40.50"
"0406 30 10","15.51.40.70"
"0406 30 31","15.51.40.70"
"0406 30 39","15.51.40.70"
"0406 30 90","15.51.40.70"
"0406 40 10","15.51.40.50"
"0406 40 50","15.51.40.50"
"0406 40 90","15.51.40.50"
"0406 90 01","15.51.40.50"
"0406 90 13","15.51.40.50"
"0406 90 15","15.51.40.50"
"0406 90 17","15.51.40.50"
"0406 90 18","15.51.40.50"
"0406 90 19","15.51.40.50"
"0406 90 21","15.51.40.50"
"0406 90 23","15.51.40.50"
"0406 90 25","15.51.40.50"
"0406 90 27","15.51.40.50"
"0406 90 29","15.51.40.50"
"0406 90 31","15.51.40.50"
"0406 90 33","15.51.40.50"
"0406 90 35","15.51.40.50"
"0406 90 37","15.51.40.50"
"0406 90 39","15.51.40.50"
"0406 90 50","15.51.40.50"
"0406 90 61","15.51.40.50"
"0406 90 63","15.51.40.50"
"0406 90 69","15.51.40.50"
"0406 90 73","15.51.40.50"
"0406 90 75","15.51.40.50"
"0406 90 76","15.51.40.50"
"0406 90 78","15.51.40.50"
"0406 90 79","15.51.40.50"
"0406 90 81","15.51.40.50"
"0406 90 82","15.51.40.50"
"0406 90 84","15.51.40.50"
"0406 90 85","15.51.40.50"
"0406 90 86","15.51.40.50"
"0406 90 87","15.51.40.50"
"0406 90 88","15.51.40.50"
"0406 90 93","15.51.40.50"
"0406 90 99","15.51.40.50"
"0408 11 20","15.89.12.30"
"0408 11 80","15.89.12.30"
"0408 19 20","15.89.12.30"
"0408 19 81","15.89.12.30"
"0408 19 89","15.89.12.30"
"0408 91 20","15.89.12.30"
"0408 91 80","15.89.12.30"
"0408 99 20","15.89.12.30"
"0408 99 80","15.89.12.30"
"0502 10 00","15.11.40.90"
"0502 90 00","15.11.40.90"
"0504 00 00","15.11.40.30"
"0506 10 00","15.11.40.90"
"0506 90 00","15.11.40.90"
"0507 10 00","15.11.40.90"
"0507 90 00","15.11.40.90"
"0510 00 00","15.11.40.90"
"0511 91 10","15.20.18.00"
"0511 91 90","15.20.18.00"
"0511 99 10","15.11.40.90"
"0511 99 90","15.11.40.90"
"0710 10 00","15.31.11.00"
"0710 21 00","15.33.11.00"
"0710 22 00","15.33.11.00"
"0710 29 00","15.33.11.00"
"0710 30 00","15.33.11.00"
"0710 40 00","15.33.11.00"
"0710 80 10","15.33.11.00"
"0710 80 51","15.33.11.00"
"0710 80 59","15.33.11.00"
"0710 80 61","15.33.11.00"
"0710 80 69","15.33.11.00"
"0710 80 70","15.33.11.00"
"0710 80 80","15.33.11.00"
"0710 80 85","15.33.11.00"
"0710 80 95","15.33.11.00"
"0710 90 00","15.33.11.00"
"0711 20 10","15.33.12.00"
"0711 20 90","15.33.12.00"
"0711 30 00","15.33.12.00"
"0711 40 00","15.33.12.00"
"0711 51 00","15.33.12.00"
"0711 59 00","15.33.12.00"
"0711 90 10","15.33.12.00"
"0711 90 30","15.33.12.00"
"0711 90 50","15.33.12.00"
"0711 90 80","15.33.12.00"
"0711 90 90","15.33.12.00"
"0712 20 00","15.33.13.30"
"0712 31 00","15.33.13.50"
"0712 32 00","15.33.13.50"
"0712 33 00","15.33.13.50"
"0712 39 00","15.33.13.50"
"0712 90 05","15.31.12.10"
"0712 90 11","15.33.13.90"
"0712 90 19","15.33.13.90"
"0712 90 30","15.33.13.90"
"0712 90 50","15.33.13.90"
"0712 90 90","15.33.13.90"
"0806 20 10","15.33.25.10"
"0806 20 30","15.33.25.10"
"0806 20 90","15.33.25.10"
"0811 10 11","15.33.21.00"
"0811 10 19","15.33.21.00"
"0811 10 90","15.33.21.00"
"0811 20 11","15.33.21.00"
"0811 20 19","15.33.21.00"
"0811 20 31","15.33.21.00"
"0811 20 39","15.33.21.00"
"0811 20 51","15.33.21.00"
"0811 20 59","15.33.21.00"
"0811 20 90","15.33.21.00"
"0811 90 11","15.33.21.00"
"0811 90 19","15.33.21.00"
"0811 90 31","15.33.21.00"
"0811 90 39","15.33.21.00"
"0811 90 50","15.33.21.00"
"0811 90 70","15.33.21.00"
"0811 90 75","15.33.21.00"
"0811 90 80","15.33.21.00"
"0811 90 85","15.33.21.00"
"0811 90 95","15.33.21.00"
"0812 10 00","15.33.24.00"
"0812 90 10","15.33.24.00"
"0812 90 20","15.33.24.00"
"0812 90 30","15.33.24.00"
"0812 90 40","15.33.24.00"
"0812 90 70","15.33.24.00"
"0812 90 98","15.33.24.00"
"0813 10 00","15.33.25.20"
"0813 20 00","15.33.25.20"
"0813 30 00","15.33.25.20"
"0813 40 10","15.33.25.20"
"0813 40 30","15.33.25.20"
"0813 40 50","15.33.25.20"
"0813 40 60","15.33.25.20"
"0813 40 70","15.33.25.20"
"0813 40 95","15.33.25.20"
"0813 50 12","15.33.25.20"
"0813 50 15","15.33.25.20"
"0813 50 19","15.33.25.20"
"0813 50 31","15.33.25.20"
"0813 50 39","15.33.25.20"
"0813 50 91","15.33.25.20"
"0813 50 99","15.33.25.20"
"0814 00 00","15.33.25.30"
"0901 12 00","15.86.11.30"
"0901 21 00","15.86.11.50"
"0901 22 00","15.86.11.70"
"0901 90 90","15.86.12.10"
"0902 10 00","15.86.13.00"
"0902 30 00","15.86.13.00"
"1006 20 11","15.61.10.00"
"1006 20 13","15.61.10.00"
"1006 20 15","15.61.10.00"
"1006 20 17","15.61.10.00"
"1006 20 92","15.61.10.00"
"1006 20 94","15.61.10.00"
"1006 20 96","15.61.10.00"
"1006 20 98","15.61.10.00"
"1006 30 21","15.61.40.30"
"1006 30 23","15.61.40.30"
"1006 30 25","15.61.40.30"
"1006 30 27","15.61.40.30"
"1006 30 42","15.61.40.30"
"1006 30 44","15.61.40.30"
"1006 30 46","15.61.40.30"
"1006 30 48","15.61.40.30"
"1006 30 61","15.61.40.30"
"1006 30 63","15.61.40.30"
"1006 30 65","15.61.40.30"
"1006 30 67","15.61.40.30"
"1006 30 92","15.61.40.30"
"1006 30 94","15.61.40.30"
"1006 30 96","15.61.40.30"
"1006 30 98","15.61.40.30"
"1006 40 00","15.61.40.50"
"1101 00 11","15.61.21.00"
"1101 00 15","15.61.21.00"
"1101 00 90","15.61.21.00"
"1102 10 00","15.61.22.00"
"1102 20 10","15.61.22.00"
"1102 20 90","15.61.22.00"
"1102 30 00","15.61.22.00"
"1102 90 10","15.61.22.00"
"1102 90 30","15.61.22.00"
"1102 90 90","15.61.22.00"
"1103 11 10","15.61.31.33"
"1103 11 90","15.61.31.35"
"1103 13 10","15.61.32.30"
"1103 13 90","15.61.32.30"
"1103 19 10","15.61.32.30"
"1103 19 30","15.61.32.30"
"1103 19 40","15.61.32.30"
"1103 19 50","15.61.32.30"
"1103 19 90","15.61.32.30"
"1103 20 10","15.61.32.50"
"1103 20 20","15.61.32.50"
"1103 20 30","15.61.32.50"
"1103 20 40","15.61.32.50"
"1103 20 50","15.61.32.50"
"1103 20 60","15.61.32.40"
"1103 20 90","15.61.32.50"
"1104 12 10","15.61.33.33"
"1104 12 90","15.61.33.33"
"1104 19 10","15.61.33.33"
"1104 19 30","15.61.33.33"
"1104 19 50","15.61.33.33"
"1104 19 61","15.61.33.33"
"1104 19 69","15.61.33.33"
"1104 19 91","15.61.33.33"
"1104 19 99","15.61.33.33"
"1104 22 20","15.61.33.33"
"1104 22 30","15.61.33.33"
"1104 22 50","15.61.33.33"
"1104 22 90","15.61.33.33"
"1104 22 98","15.61.33.33"
"1104 23 10","15.61.33.33"
"1104 23 30","15.61.33.33"
"1104 23 90","15.61.33.33"
"1104 23 99","15.61.33.33"
"1104 29 01","15.61.33.33"
"1104 29 03","15.61.33.33"
"1104 29 05","15.61.33.33"
"1104 29 07","15.61.33.33"
"1104 29 09","15.61.33.33"
"1104 29 11","15.61.33.33"
"1104 29 18","15.61.33.33"
"1104 29 30","15.61.33.33"
"1104 29 51","15.61.33.33"
"1104 29 55","15.61.33.33"
"1104 29 59","15.61.33.33"
"1104 29 81","15.61.33.33"
"1104 29 85","15.61.33.33"
"1104 29 89","15.61.33.33"
"1104 30 10","15.61.33.35"
"1104 30 90","15.61.33.35"
"1105 10 00","15.31.12.30"
"1105 20 00","15.31.12.30"
"1106 10 00","15.61.23.00"
"1106 20 10","15.61.23.00"
"1106 20 90","15.61.23.00"
"1106 30 10","15.61.23.00"
"1106 30 90","15.61.23.00"
"1107 10 11","15.97.10.30"
"1107 10 19","15.97.10.30"
"1107 10 91","15.97.10.30"
"1107 10 99","15.97.10.30"
"1107 20 00","15.97.10.50"
"1108 11 00","15.62.22.11"
"1108 12 00","15.62.22.13"
"1108 13 00","15.62.22.15"
"1108 14 00","15.62.22.19"
"1108 19 10","15.62.22.19"
"1108 19 90","15.62.22.19"
"1108 20 00","15.62.22.30"
"1109 00 00","15.62.22.50"
"1208 10 00","15.41.32.00"
"1208 90 00","15.41.32.00"
"1212 30 00","15.33.26.00"
"1404 20 00","15.41.20.00"
"1501 00 11","15.11.30.60"
