year	pc8	optional
2002	17401190	17401190N2
2002	17401230	17401230N1
2002	17401230	17401230N2
2002	17401253	17401253N1
2002	17401253	17401253N2
2002	17401255	17401255N1
2002	17401255	17401255N2
2002	17401259	17401259N1
2002	17401259	17401259N2
2002	17401330	17401330N1
2002	17401330	17401330N2
2002	17401353	17401353N1
2002	17401353	17401353N2
2002	17401355	17401355N1
2002	17401355	17401355N2
2002	17401359	17401359N1
2002	17401359	17401359N2
2002	17401430	17401430N1
2002	17401430	17401430N2
2002	17401450	17401450N1
2002	17401450	17401450N2
2002	17401653	17401653N1
2002	17401653	17401653N2
2002	18221110	18221110N1
2002	18221110	18221110N2
2002	18221120	18221120N1
2002	18221120	18221120N2
2002	18221230	18221230N1
2002	18221230	18221230N2
2002	18221260	18221260N1
2002	18221260	18221260N2
2002	18221270	18221270N1
2002	18221270	18221270N2
2002	18221310	18221310N1
2002	18221310	18221310N2
2002	18221320	18221320N1
2002	18221320	18221320N2
2002	18221430	18221430N1
2002	18221430	18221430N2
2002	18221460	18221460N1
2002	18221460	18221460N2
2002	18221470	18221470N1
2002	18221470	18221470N2
2002	18221480	18221480N1
2002	18221480	18221480N2
2002	18221490	18221490N1
2002	18221490	18221490N2
2002	18231110	18231110N1
2002	18231110	18231110N2
2002	18231220	18231220N1
2002	18231220	18231220N2
2002	18231230	18231230N1
2002	18231230	18231230N2
2002	18231240	18231240N1
2002	18231240	18231240N2
2002	18231310	18231310N1
2002	18231310	18231310N2
2002	18231420	18231420N1
2002	18231420	18231420N2
2002	18231430	18231430N1
2002	18231430	18231430N2
2002	18231440	18231440N1
2002	18231440	18231440N2
2002	18231450	18231450N1
2002	18231450	18231450N2
2002	18233030	18233030N1
2002	18233030	18233030N2
2002	18233090	18233090N1
2002	18233090	18233090N2
2002	18241100	18241100N1
2002	18241100	18241100N2
2002	18241210	18241210N1
2002	18241210	18241210N2
2002	18241230	18241230N1
2002	18241230	18241230N2
2002	18241240	18241240N1
2002	18241240	18241240N2
2002	18241250	18241250N1
2002	18241250	18241250N2
2002	18241290	18241290N1
2002	18241290	18241290N2
2002	18241373	18241373N1
2002	18241373	18241373N2
2002	18241375	18241375N1
2002	18241375	18241375N2
2002	18241430	18241430N1
2002	18241430	18241430N2
2002	18241450	18241450N1
2002	18241450	18241450N2
2002	18241490	18241490N1
2002	18241490	18241490N2
2002	24701240	24701240N1
2002	24701240	24701240N2
2002	24701313	24701313N1
2002	24701313	24701313N2
2002	24701315	24701315N1
2002	24701315	24701315N2
2002	24701323	24701323N1
2002	24701323	24701323N2
