from;to;pcfrom;ex;opt;pcfrom_recode;N;pcto;ex ;opt;pcto_recode;N;source;;
1993;1994;29561355;;B;29561350;;29561355;;;;;prodcom list structure 93 + 94;;
1993;1994;29561357;;B;29561350;;29561357;;;;;prodcom list structure 93 + 94;;
1993;1994;29711210;;;;;29711200;;;;;;;
1993;1994;29712893;;B;29712890;;29712493;;;;;prodcom list structure 93 + 94;;
1993;1994;29712890;;;;;29712495;;;;;prodcom list structure 93 + 94;;
1993;1994;29712890;;A;;;29712890;;;;;prodcom list structure 93 + 94;;
1993;1994;30021402;;B;30021400;;30021430;;;;;prodcom list structure 93 + 94;;
1993;1994;30021405;;B;30021400;;30021450;;;;;prodcom list structure 93 + 94;;
1993;1994;30021400;;;;;30021470;;A;;;prodcom list structure 93 + 94;;
1993;1994;30021403;;B;30021400;;30021473;;B;30021470;;prodcom list structure 93 + 94;;
1993;1994;30021406;;B;30021400;;30021476;;B;30021470;;prodcom list structure 93 + 94;;
1993;1994;30021407;;B;30021400;;30021477;;B;30021470;;prodcom list structure 93 + 94;;
1993;1994;30021409;;B;30021400;;30021479;;B;30021470;;prodcom list structure 93 + 94;;
1993;1994;31103113;;B;31103110;;31103113;;;;;prodcom list structure 93 + 94;;
1993;1994;31103115;;B;31103110;;31103115;;;;;prodcom list structure 93 + 94;;
1993;1994;31502535;;;;;31502547;;;;;;;
1993;1994;31502536;;;;;31502548;;;;;;;
1993;1994;31502537;;;;;31502553;;;;;;;
1993;1994;31502538;;;;;31502555;;;;;;;
1993;1994;31502541;;;;;31502559;;;;;;;
1993;1994;31502542;;;;;31502563;;;;;;;
1993;1994;31502543;;;;;31502565;;;;;;;
1993;1994;31502544;;;;;31502567;;;;;;;
1993;1994;31502545;;;;;31502569;;;;;;;
1993;1994;31502546;;;;;31502571;;;;;;;
1993;1994;31502549;;;;;31502579;;;;;;;
1993;1994;31621153;;B;31621150;;31621153;;;;;prodcom list structure 93 + 94;;
1993;1994;31621155;;B;31621150;;31621155;;;;;prodcom list structure 93 + 94;;
1993;1994;31621157;;B;31621150;;31621157;;;;;prodcom list structure 93 + 94;;
1993;1994;31621173;;B;31621170;;31621173;;;;;prodcom list structure 93 + 94;;
1993;1994;31621175;;B;31621170;;31621175;;;;;prodcom list structure 93 + 94;;
1993;1994;33101573;;B;33101570;;33101573;;;;;prodcom list structure 93 + 94;;
1993;1994;33101579;;B;33101570;;33101579;;;;;prodcom list structure 93 + 94;;
1993;1994;33402355;;B;33402350;;33402355;;;;;prodcom list structure 93 + 94;;
1993;1994;33402359;;B;33402350;;33402359;;;;;prodcom list structure 93 + 94;;
1993;1994;35303330;;A;;;35303300;;A;;;prodcom list structure 93 + 94;;
1993;1994;35303333;;B;35303330;;35303303;;B;35303300;;prodcom list structure 93 + 94;;
1993;1994;35303335;;B;35303330;;35303305;;B;35303300;;prodcom list structure 93 + 94;;
1993;1994;35303450;;A;;;35303400;;A;;;prodcom list structure 93 + 94;;
1993;1994;35303451;;B;35303450;;35303401;;B;35303400;;prodcom list structure 93 + 94;;
1993;1994;35303453;;B;35303450;;35303403;;B;35303400;;prodcom list structure 93 + 94;;
1993;1994;35303455;;B;35303450;;35303405;;B;35303400;;prodcom list structure 93 + 94;;
1993;1994;35303457;;B;35303450;;35303407;;B;35303400;;prodcom list structure 93 + 94;;
1993;1994;36111407;;B;36111400;;36111410;;;;;prodcom list structure 93 + 94;;
1993;1994;36111400;;;;;36111430;;A;;;prodcom list structure 93 + 94;;
1993;1994;36111403;;B;36111400;;36111433;;B;36111430;;prodcom list structure 93 + 94;;
1993;1994;36111405;;B;36111400;;36111435;;B;36111430;;prodcom list structure 93 + 94;;
1993;1994;36111409;;B;36111400;;36111439;;B;36111430;;prodcom list structure 93 + 94;;
1993;1994;36131005;;B;36131000;;36131050;;;;;prodcom list structure 93 + 94;;
1993;1994;36131009;;B;36131000;;36131090;;;;;prodcom list structure 93 + 94;;
1993;1994;36301450;;;;;36301440;;A;;;prodcom list structure 93 + 94;;
1993;1994;36301430;;;;;36301441;;B;36301440;;prodcom list structure 93 + 94;;
1993;1994;36301453;;B;36301450;;36301443;;B;36301440;;prodcom list structure 93 + 94;;
1993;1994;36301455;;B;36301450;;36301445;;B;36301440;;prodcom list structure 93 + 94;;
1993;1994;36301457;;B;36301450;;36301447;;B;36301440;;prodcom list structure 93 + 94;;
1993;1994;36301459;;B;36301450;;36301449;;B;36301440;;prodcom list structure 93 + 94;;
1994;1995;;;;;;14221140;;;;;;;
1994;1995;;;;;;14221160;;;;;;;
1994;1995;15114000;;;;;15114030;;;;;;;
1994;1995;;;;;;15114090;;;;;;;
1994;1995;;;;;;15511140;;A;;;;change in coverage;
1994;1995;;;;;;15511143;;B;15511140;;prodcom list structure 94 + 95;change in coverage;
1994;1995;;;;;;15511145;;B;15511140;;prodcom list structure 94 + 95;change in coverage;
1994;1995;;;;;;15511147;;B;15511140;;prodcom list structure 94 + 95;change in coverage;
1994;1995;;;;;;15511160;;A;;;;change in coverage;
1994;1995;;;;;;15511163;;B;15511160;;prodcom list structure 94 + 95;change in coverage;
1994;1995;;;;;;15511165;;B;15511160;;prodcom list structure 94 + 95;change in coverage;
1994;1995;;;;;;15511167;;B;15511160;;prodcom list structure 94 + 95;change in coverage;
1994;1995;15511200;;;;;15511200;;A;;;prodcom list structure 94 + 95;;
1994;1995;15511200;;;;;15511205;;B;15511200;;prodcom list structure 94 + 95;;
1994;1995;15511200;;;;;15511207;;B;15511200;;prodcom list structure 94 + 95;;
1994;1995;;;;;;15512060;;;;;;;
1994;1995;;;;;;15515104;;;;;;;
1994;1995;;;;;;15515108;;;;;;;
1994;1995;;;;;;15515243;;;;;;;
1994;1995;;;;;;15515245;;;;;;;
1994;1995;;;;;;15515247;;;;;;;
1994;1995;;;;;;15515263;;;;;;;
1994;1995;;;;;;15515265;;;;;;;
1994;1995;15515539;;;;;15515540;;A;;;prodcom list structure 94 + 95;;
1994;1995;15515539;;;;;15515543;;B;15515540;;prodcom list structure 94 + 95;;
1994;1995;15515539;;;;;15515547;;B;15515540;;prodcom list structure 94 + 95;;
1994;1995;15721000;;A;;;15721030;;A;;;prodcom list structure 94 + 95;;
1994;1995;15721003;;B;15721000;;15721033;;B;15721030;;prodcom list structure 94 + 95;;
1994;1995;15721005;;B;15721000;;15721035;;B;15721030;;prodcom list structure 94 + 95;;
1994;1995;15721009;;;;;15721050;;;;;prodcom list structure 94 + 95;;
1994;1995;;;;;;15891431;;;;;;;
1994;1995;;;;;;15891439;;;;;;;
1994;1995;;;;;;15891491;;;;;;;
1994;1995;;;;;;15891499;;;;;;;
1994;1995;;;;;;17309000;;;;;;;
1994;1995;22221203;;B;22221200;;22221230;;;;;prodcom list structure 94 + 95;;
1994;1995;22221200;;;;;22221250;;A;;;prodcom list structure 94 + 95;;
1994;1995;22221205;;B;22221200;;22221255;;B;22221250;;prodcom list structure 94 + 95;;
1994;1995;22221209;;B;22221200;;22221259;;B;22221250;;prodcom list structure 94 + 95;;
1994;1995;;;;;;22223290;;;;;;;
1994;1995;25211090;;;;;25211090;;A;;;prodcom list structure 94 + 95;;
1994;1995;25211090;;;;;25211093;;B;25211090;;prodcom list structure 94 + 95;;
1994;1995;25211090;;;;;25211097;;B;25211090;;prodcom list structure 94 + 95;;
1994;1995;25212170;;;;;25212170;;A;;;prodcom list structure 94 + 95;;
1994;1995;25212170;;;;;25212173;;B;25212170;;prodcom list structure 94 + 95;;
1994;1995;25212170;;;;;25212177;;B;25212170;;prodcom list structure 94 + 95;;
1994;1995;25214120;;;;;25214120;;A;;;prodcom list structure 94 + 95;;
1994;1995;25214120;;;;;25214123;;B;25214120;;prodcom list structure 94 + 95;;
1994;1995;25214120;;;;;25214127;;B;25214120;;prodcom list structure 94 + 95;;
1994;1995;25214180;;;;;25214180;;A;;;prodcom list structure 94 + 95;;
1994;1995;25214180;;;;;25214183;;B;25214180;;prodcom list structure 94 + 95;;
1994;1995;25214180;;;;;25214187;;B;25214180;;prodcom list structure 94 + 95;;
1994;1995;25214230;;;;;25214230;;A;;;prodcom list structure 94 + 95;;
1994;1995;25214230;;;;;25214233;;B;25214230;;prodcom list structure 94 + 95;;
1994;1995;25214230;;;;;25214237;;B;25214230;;prodcom list structure 94 + 95;;
1994;1995;25214240;;;;;25214240;;A;;;prodcom list structure 94 + 95;;
1994;1995;25214240;;;;;25214243;;B;25214240;;prodcom list structure 94 + 95;;
1994;1995;25214240;;;;;25214247;;B;25214240;;prodcom list structure 94 + 95;;
1994;1995;25214250;;;;;25214250;;A;;;prodcom list structure 94 + 95;;
1994;1995;25214250;;;;;25214253;;B;25214250;;prodcom list structure 94 + 95;;
1994;1995;25214250;;;;;25214257;;B;25214250;;prodcom list structure 94 + 95;;
1994;1995;25221510;;;;;25221521;;;;;;;
1994;1995;25221530;;;;;25221523;;;;;;;
1994;1995;25221550;;;;;25221525;;;;;;;
1994;1995;25221570;;;;;25221527;;;;;;;
1994;1995;25221580;;;;;25221528;;;;;;;
1994;1995;25221590;;A;;;25221540;;A;;;prodcom list structure 94 + 95;;
1994;1995;25221591;;B;25221590;;25221543;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25221592;;B;25221590;;25221545;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25221593;;B;25221590;;25221547;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25221594;;B;25221590;;25221582;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25221590;;;;;25221583;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25221590;;;;;25221584;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25221590;;;;;25221585;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25221590;;;;;25221586;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25221590;;;;;25221587;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25221590;;;;;25221588;;B;25221540;;prodcom list structure 94 + 95;;
1994;1995;25231300;;;;;25231300;;A;;;prodcom list structure 94 + 95;;
1994;1995;25231300;;;;;25231303;;B;25231300;;prodcom list structure 94 + 95;;
1994;1995;25231300;;;;;25231307;;B;25231300;;prodcom list structure 94 + 95;;
1994;1995;;;;;;25231551;;;;;;;
1994;1995;;;;;;25231552;;;;;;;
1994;1995;;;;;;25231558;;;;;;;
1994;1995;;;;;;25231559;;;;;;;
1994;1995;25232000;;;;;25232000;;A;;;prodcom list structure 94 + 95;;
1994;1995;25232000;;;;;25232003;;B;25232000;;prodcom list structure 94 + 95;;
1994;1995;25232000;;;;;25232007;;B;25232000;;prodcom list structure 94 + 95;;
1994;1995;25242400;;;;;25242400;;A;;;prodcom list structure 94 + 95;;
1994;1995;25242400;;;;;25242403;;B;25242400;;prodcom list structure 94 + 95;;
1994;1995;25242400;;;;;25242407;;B;25242400;;prodcom list structure 94 + 95;;
1994;1995;25249010;;;;;25249010;;A;;;prodcom list structure 94 + 95;;
1994;1995;25249010;;;;;25249013;;B;25249010;;prodcom list structure 94 + 95;;
1994;1995;25249010;;;;;25249017;;B;25249010;;prodcom list structure 94 + 95;;
1994;1995;25249031;;;;;25249023;;;;;;;
1994;1995;25249033;;;;;25249027;;;;;;;
1994;1995;25249035;;;;;25249030;;A;;;prodcom list structure 94 + 95;;
1994;1995;25249035;;;;;25249032;;B;25249030;;prodcom list structure 94 + 95;;
1994;1995;25249035;;;;;25249034;;B;25249030;;prodcom list structure 94 + 95;;
1994;1995;25249037;;;;;25249040;;A;;;prodcom list structure 94 + 95;;
1994;1995;25249037;;;;;25249043;;B;25249040;;prodcom list structure 94 + 95;;
1994;1995;25249037;;;;;25249047;;B;25249040;;prodcom list structure 94 + 95;;
1994;1995;25249053;;;;;25249050;;A;;;prodcom list structure 94 + 95;;
1994;1995;25249053;;;;;25249052;;B;25249050;;prodcom list structure 94 + 95;;
1994;1995;25249053;;;;;25249056;;B;25249050;;prodcom list structure 94 + 95;;
1994;1995;25249055;;;;;25249060;;A;;;prodcom list structure 94 + 95;;
1994;1995;25249055;;;;;25249063;;B;25249060;;prodcom list structure 94 + 95;;
1994;1995;25249055;;;;;25249067;;B;25249060;;prodcom list structure 94 + 95;;
1994;1995;25249057;;;;;25249080;;A;;;prodcom list structure 94 + 95;;
1994;1995;25249057;;;;;25249083;;B;25249080;;prodcom list structure 94 + 95;;
1994;1995;25249057;;;;;25249087;;B;25249080;;prodcom list structure 94 + 95;;
1994;1995;25249039;;;;;25249093;;;;;;;
1994;1995;25249070;;;;;25249097;;;;;;;
1994;1995;;;;;;26111280;;;;;;;
1994;1995;271030Z2;;;;;271030Z9;;;;;;;
1994;1995;271030Z3;;;;;271030Z9;;;;;;;
1994;1995;28721275;;B;28721270;;28721260;;;;;prodcom list structure 94 + 95;;
1994;1995;28721270;;;;;28721280;;A;;;prodcom list structure 94 + 95;;
1994;1995;28721271;;B;28721270;;28721283;;B;28721280;;prodcom list structure 94 + 95;;
1994;1995;28721273;;B;28721270;;28721285;;B;28721280;;prodcom list structure 94 + 95;;
1994;1995;28721279;;B;28721270;;28721289;;B;28721280;;prodcom list structure 94 + 95;;
1994;1995;29401240;;A;;;29401240;;;;;prodcom list structure 94 + 95;;
1994;1995;;;;;;29402123;;;;;;;
1994;1995;;;;;;29402127;;;;;;;
1994;1995;;;;;;29402129;;;;;;;
1994;1995;;;;;;29402143;;;;;;;
1994;1995;;;;;;29402147;;;;;;;
1994;1995;;;;;;29402149;;;;;;;
1994;1995;;;;;;29402163;;;;;;;
1994;1995;;;;;;29402169;;;;;;;
1994;1995;;;;;;29402190;;;;;;;
1994;1995;29551143;;B;29551140;;29551143;;;;;prodcom list structure 94 + 95;;
1994;1995;29551145;;B;29551140;;29551145;;;;;prodcom list structure 94 + 95;;
1995;1996;14301385;;;;;14301390;ex;;;;;;
1995;1996;14301390;;;;;14301390;ex;;;;;;
1995;1996;;;;;;15139000;;;;;;;
1995;1996;15332550;ex;;;;15332550;;;;;;;
1995;1996;;;;;;15339000;;;;;;;
1995;1996;15891499;ex;;;;15513070;;;;;;;
1995;1996;;;;;;155152Z1;;;;;;;
1995;1996;15332550;ex;;;;15613351;;;;;;;
1995;1996;15891499;ex;;;;15891499;ex;;;;;;
1995;1996;15911010;ex;;;;15891499;ex;;;;;;
1995;1996;;;;;;17409000;;;;;;;
1995;1996;;;;;;17529000;;;;;;;
1995;1996;19301220;;;;;19301231;ex;;;;;;
1995;1996;19301235;;;;;19301231;ex;;;;;;
1995;1996;;;;;;193031Z1;;;;;;;
1995;1996;20101050;;A;;;20101053;;;;;prodcom list structure 95 + 96;;
1995;1996;20101053;;B;20101050;;20101053;;;;;prodcom list structure 95 + 96;;
1995;1996;20101055;;B;20101050;;20101055;;;;;prodcom list structure 95 + 96;;
1995;1996;20101057;;B;20101050;;20101057;;;;;prodcom list structure 95 + 96;;
1995;1996;20101059;;B;20101050;;20101059;;;;;prodcom list structure 95 + 96;;
1995;1996;20103119;;;;;20103117;ex;;;;;;
1995;1996;20103150;;;;;20103117;ex;;;;;;
1995;1996;;;;;;20109000;;;;;;;
1995;1996;20202117;;;;;20202118;ex;;;;;;
1995;1996;20202119;;;;;20202118;ex;;;;;;
1995;1996;21251471;;;;;21251471;ex;;;;;;
1995;1996;21251475;;;;;21251471;ex;;;;;;
1995;1996;21251477;;;;;21251471;ex;;;;;;
1995;1996;22221250;;A;;;22221250;;;;;prodcom list structure 95 + 96;;
1995;1996;22221255;;B;22221250;;22221250;;;;;prodcom list structure 95 + 96;;
1995;1996;22221259;;B;22221250;;22221250;;;;;prodcom list structure 95 + 96;;
1995;1996;24152060;;;;;24133260;;;;;;;
1995;1996;24133375;;;;;24133379;ex;;;;;;
1995;1996;24133379;;;;;24133379;ex;;;;;;
1995;1996;24422165;;;;;24422160;ex;;;;;;
1995;1996;24422169;;;;;24422160;ex;;;;;;
1995;1996;15911010;ex;;;;24631075;ex;;;;;;
1995;1996;24631075;;;;;24631075;ex;;;;;;
1995;1996;24664855;;;;;24664890;ex;;;;;;
1995;1996;24664890;;;;;24664890;ex;;;;;;
1995;1996;26121190;ex;;;;26111212;;;;;;;
1995;1996;26111211;ex;;;;26111214;ex;;;;;;
1995;1996;26111213;;;;;26111214;ex;;;;;;
1995;1996;26111215;;;;;26111214;ex;;;;;;
1995;1996;26111211;ex;;;;26111217;ex;;;;;;
1995;1996;26111217;;;;;26111217;ex;;;;;;
1995;1996;26121190;ex;;;;26121190;;;;;;;
1995;1996;26131130;ex;;;;26131153;ex;;;;;;
1995;1996;26131153;;;;;26131153;ex;;;;;;
1995;1996;26131130;ex;;;;26131155;ex;;;;;;
1995;1996;26131155;;;;;26131155;ex;;;;;;
1995;1996;26131120;;;;;26131190;ex;;;;;;
1995;1996;26131130;ex;;;;26131190;ex;;;;;;
1995;1996;26131190;;;;;26131190;ex;;;;;;
1995;1996;;;;;;266013Z1;;;;;;;
1995;1996;271041Z5;;;;;;;;;;;;
1995;1996;271041Z6;;;;;;;;;;;;
1995;1996;;;;;;271041Z8;;;;;;;
1995;1996;;;;;;271041Z9;;;;;;;
1995;1996;;;;;;28119000;;;;;;;
1995;1996;28622023;;;;;28622020;ex;;;;;;
1995;1996;28622025;;;;;28622020;ex;;;;;;
1995;1996;28622031;;;;;28622030;ex;;;;;;
1995;1996;28622033;;;;;28622030;ex;;;;;;
1995;1996;28622035;;;;;28622030;ex;;;;;;
1995;1996;28622037;;;;;28622030;ex;;;;;;
1995;1996;28622053;;;;;28622050;ex;;;;;;
1995;1996;28622055;;;;;28622050;ex;;;;;;
1995;1996;28624011;;;;;28624014;ex;;;;;;
1995;1996;28624013;;;;;28624014;ex;;;;;;
1995;1996;28624015;;;;;28624016;ex;;;;;;
1995;1996;28624017;;;;;28624016;ex;;;;;;
1995;1996;28624041;;;;;28624044;ex;;;;;;
1995;1996;28624043;;;;;28624044;ex;;;;;;
1995;1996;28624047;;;;;28624048;ex;;;;;;
1995;1996;28624049;;;;;28624048;ex;;;;;;
1995;1996;28624075;;;;;28624074;ex;;;;;;
1995;1996;28624077;;;;;28624074;ex;;;;;;
1995;1996;28625025;;;;;28625024;ex;;;;;;
1995;1996;28625027;;;;;28625024;ex;;;;;;
1995;1996;28731370;;;;;28731360;ex;;;;;;
1995;1996;28731390;;;;;28731360;ex;;;;;;
1995;1996;28752751;;;;;28752755;ex;;;;;;
1995;1996;28752755;;;;;28752755;ex;;;;;;
1995;1996;29142470;;A;;;29142473;;;;;prodcom list structure 95 + 96;;
1995;1996;29142473;;B;29142470;;29142473;;;;;prodcom list structure 95 + 96;;
1995;1996;29142475;;B;29142470;;29142475;;;;;prodcom list structure 95 + 96;;
1995;1996;29231430;;;;;29231470;ex;;;;;;
1995;1996;29231450;;;;;29231470;ex;;;;;;
1995;1996;29231460;;;;;29231470;ex;;;;;;
1995;1996;;;;;;29609100;;;;;;;
1995;1996;;;;;;29609200;;;;;;;
1995;1996;30012390;;;;;30012390;;A;;;prodcom list structure 95 + 96;;
1995;1996;30021476;;B;30021470;;30012393;;B;30012390;;prodcom list structure 95 + 96;;
1995;1996;;;;;;30012399;;B;30012390;;prodcom list structure 95 + 96;;
1995;1996;;;;;;30021200;;;;;;;
1995;1996;30021203;;;;;;;;;;;;
1995;1996;30021209;;;;;;;;;;;;
1995;1996;;;;;;30021300;;;;;;;
1995;1996;;;;;;30021400;;;;;;;
1995;1996;;;;;;30021500;;;;;;;
1995;1996;30021430;;;;;30021630;;;;;;;
1995;1996;30021450;;;;;30021650;;;;;;;
1995;1996;30021470;;A;;;30021670;;A;;;prodcom list structure 95 + 96;;
1995;1996;30021473;;B;30021470;;30021673;;B;30021670;;prodcom list structure 95 + 96;;
1995;1996;30021477;;B;30021470;;30021677;;B;30021670;;prodcom list structure 95 + 96;;
1995;1996;30021479;;B;30021470;;30021679;;B;30021670;;prodcom list structure 95 + 96;;
1995;1996;30021530;;;;;30021730;;;;;;;
1995;1996;30021555;;;;;30021755;;;;;;;
1995;1996;30021557;;;;;30021757;;;;;;;
1995;1996;30021570;;;;;30021770;;;;;;;
1995;1996;30021590;;;;;30021790;;;;;;;
1995;1996;30021600;ex;;;;30021800;;;;;;;
1995;1996;30021700;;;;;30021900;;;;;;;
1995;1996;30021600;ex;;;;31105040;;;;;;;
1995;1996;31105025;;;;;31105071;;B;31105070;;prodcom list structure 95 + 96;;
1995;1996;31401210;;;;;;;;;;;;
1995;1996;31401220;;;;;;;;;;;;
1995;1996;31401230;;;;;;;;;;;;
1995;1996;31401250;;;;;;;;;;;;
1995;1996;31401260;;;;;;;;;;;;
1995;1996;31401270;;;;;;;;;;;;
1995;1996;31401280;;;;;;;;;;;;
1995;1996;31401300;;;;;31401200;;;;;;;
1995;1996;31501230;ex;;;;31501293;ex;;;;;;
1995;1996;31501293;;;;;31501293;ex;;;;;;
1995;1996;31501230;ex;;;;31501295;ex;;;;;;
1995;1996;31501295;;;;;31501295;ex;;;;;;
1995;1996;31501450;;;;;31501460;ex;;;;;;
1995;1996;31501470;;;;;31501460;ex;;;;;;
1995;1996;31501430;ex;;;;31501493;ex;;;;;;
1995;1996;31501493;;;;;31501493;ex;;;;;;
1995;1996;31501430;ex;;;;31501495;ex;;;;;;
1995;1996;31501495;;;;;31501495;ex;;;;;;
1995;1996;31501555;;;;;31501556;ex;;;;;;
1995;1996;31501557;;;;;31501556;ex;;;;;;
1995;1996;31501551;;;;;31501559;ex;;;;;;
1995;1996;31501559;;;;;31501559;ex;;;;;;
1995;1996;32106021;;;;;32106025;ex;;;;;;
