"Year","PRODCOM code","CN code"
"2003","27107220","72106110"
"2003","27107220","72106190"
"2003","27107220","72106910"
"2003","27107220","72106990"
"2003","27107220","72109010"
"2003","27107220","72109038"
"2003","27107220","72109090"
"2003","27107220","72259210"
"2003","27107220","72259290"
"2003","27107230","72103010"
"2003","27107230","72103090"
"2003","27107230","72259110"
"2003","27107230","72259190"
"2003","27107240","72107039"
"2003","27107240","72107090"
"2003","27108110","72131000"
"2003","27108120","72132000"
"2003","27108130","72139110"
"2003","27108140","72139120"
"2003","27108190","72139141"
"2003","28752719","73259910"
"2003","28752719","73259990"
"2003","28752722","73261910"
"2003","28752722","73261990"
"2003","28752758","74199100"
"2003","28752758","74199900"
"2003","29411103","84671110"
"2003","29411103","84671190"
"2003","29411105","84671900"
"2003","29411107","84678100"
"2003","29411109","84678900"
"2003","29411113","84672110"
"2003","29411115","84672191"
"2003","29411117","84672199"
"2003","29411123","84672210"
"2003","29411125","84672230"
"2003","29411127","84672290"
"2003","29411133","84672910"
"2003","29411135","84672930"
"2003","29411151","84672951"
"2003","29411153","84672953"
"2003","29411155","84672959"
"2003","29411157","84672970"
"2003","29411180","84672980"
"2003","29411190","84672990"
"2003","29411240","84679100"
"2003","29411240","84679900"
"2003","29411250","84679200"
"2003","29421110","84561010"
"2003","29421110","84561090"
"2003","29421130","84562000"
"2003","29421153","84563011"
"2003","32106227","85422113"
"2003","32106227","85422115"
"2003","32106227","85422117"
"2003","32106234","85422120"
"2003","32106254","85422125"
"2003","32106265","85422131"
"2003","32106265","85422133"
"2003","32106265","85422135"
"2003","32106265","85422137"
"2003","32106265","85422139"
"2003","32106269","85422141"
"2003","32106270","85422145"
"2003","32106293","85422150"
"2003","32106293","85422161"
"2003","32106293","85422169"
"2003","32106293","85422171"
"2003","32106293","85422173"
"2003","32106293","85422181"
"2003","32106293","85422183"
"2003","32106293","85422185"
"2003","32106293","85422191"
"2003","32106293","85422199"
"2003","32106295","85422910"
"2003","32106295","85422920"
"2003","32106295","85422930"
"2003","32106295","85422950"
"2003","32106295","85422960"
"2003","32106295","85422970"
"2003","32106295","85422990"
"2003","32106297","85426000"
"2003","32106299","85427000"
"2003","32305170","85229051"
"2003","32305170","85229059"
"2003","33502910","91061000"
"2003","33502930","91062000"
"2003","33502930","91069090"
"2003","33502950","91069010"
"2003","33502970","91070000"
"2003","221121Z1","49019900"
"2003","2710T222","72085110"
"2003","2710T243","72169990"
"2003","2710T243","72287010"
"2003","2710T243","72287031"
"2003","2710T244","72163111"
"2003","2710T244","72163119"
"2003","2710T244","72163191"
"2003","2710T244","72163199"
"2003","2710T244","72163211"
"2003","2710T244","72163219"
"2003","2710T244","72163291"
"2003","2710T244","72163299"
"2003","2710T244","72163310"
"2003","2710T244","72163390"
"2003","2710T251","73011000"
"2003","2710T252","73021010"
"2003","2710T252","73021031"
"2003","2710T252","73021039"
"2003","2710T252","73021090"
"2003","2710T252","73023000"
"2003","2710T252","73024010"
"2003","2710T252","73024090"
"2003","2710T252","73029020"
