"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit"
"517747","2","260020000090","250010000090","26"," V"," CHAPTER 26 - ORES, SLAG AND ASH","ORES, SLAG AND ASH",
"517748","3","260100000080","260020000090","2601","26"," Iron ores and concentrates, including roasted iron pyrites","Iron ores and concentrates, incl. roasted iron pyrites",
"517749","4","260111000010","260100000080",,"2601"," -  Iron ores and concentrates, other than roasted iron pyrites",,
"517750","5","260111000080","260111000010","2601 11 00",," - - Non-agglomerated (ECSC)","Non-agglomerated iron ores and concentrates ""ECSC"" (excl. roasted iron pyrites)","-"
"517751","5","260112000080","260111000010","2601 12 00",," - - Agglomerated (ECSC)","Agglomerated iron ores and concentrates ""ECSC"" (excl. roasted iron pyrites)","-"
"517752","4","260120000080","260100000080","2601 20 00","2601"," -  Roasted iron pyrites","Roasted iron pyrites","-"
"517753","3","260200000080","260020000090","2602 00 00","26"," Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight (ECSC)","Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a manganese content of >= 20%, calculated on the dry weight ""ECSC""","-"
"517754","3","260300000080","260020000090","2603 00 00","26"," Copper ores and concentrates","Copper ores and concentrates","-"
"517755","3","260400000080","260020000090","2604 00 00","26"," Nickel ores and concentrates","Nickel ores and concentrates","-"
"517756","3","260500000080","260020000090","2605 00 00","26"," Cobalt ores and concentrates","Cobalt ores and concentrates","-"
"517757","3","260600000080","260020000090","2606 00 00","26"," Aluminium ores and concentrates","Aluminium ores and concentrates","-"
"517758","3","260700000080","260020000090","2607 00 00","26"," Lead ores and concentrates","Lead ores and concentrates","-"
"517759","3","260800000080","260020000090","2608 00 00","26"," Zinc ores and concentrates","Zinc ores and concentrates","-"
"517760","3","260900000080","260020000090","2609 00 00","26"," Tin ores and concentrates","Tin ores and concentrates","-"
"517761","3","261000000080","260020000090","2610 00 00","26"," Chromium ores and concentrates","Chromium ores and concentrates","-"
"517762","3","261100000080","260020000090","2611 00 00","26"," Tungsten ores and concentrates","Tungsten ores and concentrates","-"
"517763","3","261200000080","260020000090","2612","26"," Uranium or thorium ores and concentrates","Uranium or thorium ores and concentrates",
"517764","4","261210000080","261200000080","2612 10","2612"," -  Uranium ores and concentrates","Uranium ores and concentrates",
"517765","5","261210100080","261210000080","2612 10 10","2612 10"," - - Uranium ores and pitchblende, and concentrates thereof, with a uranium content of more than 5 % by weight (Euratom)","Uranium ores and pitchblende, with a uranium content of > 5% by weight [Euratom]","-"
"517766","5","261210900080","261210000080","2612 10 90","2612 10"," - - Other","Uranium ores and concentrates (excl. uranium ores and pitchblende, with a uranium content of > 5% by weight)","-"
"517767","4","261220000080","261200000080","2612 20","2612"," -  Thorium ores and concentrates","Thorium ores and concentrates",
"517768","5","261220100080","261220000080","2612 20 10","2612 20"," - - Monazite; urano-thorianite and other thorium ores and concentrates, with a thorium content of more than 20 % by weight (Euratom)","Monazite; urano-thorianite and other thorium ores, with a thorium content of > 20% by weight [Euratom]","-"
"517769","5","261220900080","261220000080","2612 20 90","2612 20"," - - Other","Thorium ores and concentrates (excl. monazite, urano-thorianite and other thorium ores, with a thorium content of > 20% by weight)","-"
"517770","3","261300000080","260020000090","2613","26"," Molybdenum ores and concentrates","Molybdenum ores and concentrates",
"517771","4","261310000080","261300000080","2613 10 00","2613"," -  Roasted","Roasted molybdenum ores and concentrates","-"
"517772","4","261390000080","261300000080","2613 90 00","2613"," -  Other","Molybdenum ores and concentrates (excl. roasted)","-"
"517773","3","261400000080","260020000090","2614 00","26"," Titanium ores and concentrates","Titanium ores and concentrates",
"517774","4","261400100080","261400000080","2614 00 10","2614 00"," -  Ilmenite and concentrates thereof","Ilmenite and concentrates","-"
"517775","4","261400900080","261400000080","2614 00 90","2614 00"," -  Other","Titanium ores and concentrates (excl. ilmenite and concentrates)","-"
"517776","3","261500000080","260020000090","2615","26"," Niobium, tantalum, vanadium or zirconium ores and concentrates","Niobium, tantalum, vanadium or zirconium ores and concentrates",
"517777","4","261510000080","261500000080","2615 10 00","2615"," -  Zirconium ores and concentrates","Zirconium ores and concentrates","-"
"517778","4","261590000080","261500000080","2615 90","2615"," -  Other","Niobium, tantalum or vanadium ores and concentrates",
"517779","5","261590100080","261590000080","2615 90 10","2615 90"," - - Niobium and tantalum ores and concentrates","Niobium and tantalum ores and concentrates","-"
"517780","5","261590900080","261590000080","2615 90 90","2615 90"," - - Vanadium ores and concentrates","Vanadium ores and concentrates","-"
"517781","3","261600000080","260020000090","2616","26"," Precious metal ores and concentrates","Precious metal ores and concentrates",
"517782","4","261610000080","261600000080","2616 10 00","2616"," -  Silver ores and concentrates","Silver ores and concentrates","-"
"517783","4","261690000080","261600000080","2616 90 00","2616"," -  Other","Precious metal ores and concentrates (excl. silver ores and oncentrates)","-"
"517784","3","261700000080","260020000090","2617","26"," Other ores and concentrates","Ores and concentrates (excl. iron, manganese, copper, nickel, cobalt, aluminium, lead, zinc, tin, chromium, tungsten, uranium, thorium, molybdenum, titanium, niobium, tantalum, vanadium, zirconium and precious metal ores and concentrates)",
"517785","4","261710000080","261700000080","2617 10 00","2617"," -  Antimony ores and concentrates","Antimony ores and concentrates","-"
"517786","4","261790000080","261700000080","2617 90 00","2617"," -  Other","Ores and concentrates (excl. iron, manganese, copper, nickel, cobalt, aluminium, lead, zinc, tin, chromium, tungsten, uranium, thorium, molybdenum, titanium, niobium, tantalum, vanadium, zirconium, precious metal or antimony ores and concentrates)","-"
"517787","3","261800000080","260020000090","2618 00 00","26"," Granulated slag (slag sand) from the manufacture of iron or steel","Granulated slag ""slag sand"" from the manufacture of iron or steel","-"
"517788","3","261900000080","260020000090","2619 00","26"," Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel","Slag, dross, scalings and other waste from the manufacture of iron or steel (excl. granulated slag)",
"517789","4","261900100080","261900000080","2619 00 10","2619 00"," -  Blast-furnace dust (ECSC)","Blast-furnace dust ""ECSC""","-"
"517790","4","261900910010","261900000080",,"2619 00"," -  Other",,
"517791","5","261900910080","261900910010","2619 00 91",," - - Waste suitable for the recovery of iron or manganese","Waste from the manufacture of iron or steel suitable for the recovery of iron or manganese","-"
"517792","5","261900930080","261900910010","2619 00 93",," - - Slag suitable for the extraction of titanium oxide","Slag from the manufacture of iron or steel suitable for the extraction of titanium oxide","-"
"517793","5","261900950080","261900910010","2619 00 95",," - - Waste suitable for the extraction of vanadium","Waste from the manufacture of iron or steel suitable for the extraction of vanadium","-"
"517794","5","261900990080","261900910010","2619 00 99",," - - Other","Slag, dross, scalings and other waste from the manufacture of iron or steel (excl. granulated slag, blast-furnace dust, waste suitable for the recovery of iron or manganese or for the extraction of vanadium and slag suitable for the extraction of titanium oxide)","-"
"517795","3","262000000080","260020000090","2620","26"," Ash and residues (other than from the manufacture of iron or steel), containing metals or metal compounds","Ash and residues, containing metals or metal compounds (excl. those from the manufacture of iron or steel)",
"517796","4","262011000010","262000000080",,"2620"," -  Containing mainly zinc",,
"517797","5","262011000080","262011000010","2620 11 00",," - - Hard zinc spelter","Hard zinc spelter","-"
"517798","5","262019000080","262011000010","2620 19 00",," - - Other","Ash and residues containing mainly zinc (excl. hard zinc spelter)","-"
"517799","4","262020000080","262000000080","2620 20 00","2620"," -  Containing mainly lead","Ash and residues containing mainly lead","-"
"517800","4","262030000080","262000000080","2620 30 00","2620"," -  Containing mainly copper","Ash and residues containing mainly copper","-"
"517801","4","262040000080","262000000080","2620 40 00","2620"," -  Containing mainly aluminium","Ash and residues containing mainly aluminium","-"
"517802","4","262050000080","262000000080","2620 50 00","2620"," -  Containing mainly vanadium","Ash and residues containing mainly vanadium","-"
"517803","4","262090000080","262000000080","2620 90","2620"," -  Other","Ash and residues, containing metals or metal compounds (excl. those containing primarily zinc, lead, copper, aluminium or vanadium)",
"517804","5","262090100080","262090000080","2620 90 10","2620 90"," - - Containing mainly nickel","Ash and residues containing mainly nickel","-"
"517805","5","262090200080","262090000080","2620 90 20","2620 90"," - - Containing mainly niobium and tantalum","Ash and residues containing mainly niobium or tantalum","-"
"517806","5","262090300080","262090000080","2620 90 30","2620 90"," - - Containing mainly tungsten","Ash and residues containing mainly tungsten","-"
"517807","5","262090400080","262090000080","2620 90 40","2620 90"," - - Containing mainly tin","Ash and residues containing mainly tin","-"
"517808","5","262090500080","262090000080","2620 90 50","2620 90"," - - Containing mainly molybdenum","Ash and residues containing mainly molybdenum","-"
"517809","5","262090600080","262090000080","2620 90 60","2620 90"," - - Containing mainly titanium","Ash and residues containing mainly titanium","-"
"517810","5","262090700080","262090000080","2620 90 70","2620 90"," - - Containing mainly antimony","Ash and residues containing mainly antimony","-"
"517811","5","262090800080","262090000080","2620 90 80","2620 90"," - - Containing mainly cobalt","Ash and residues containing mainly cobalt","-"
"517812","5","262090910080","262090000080","2620 90 91","2620 90"," - - Containing mainly zirconium","Ash and residues containing mainly zirconium","-"
"517813","5","262090990080","262090000080","2620 90 99","2620 90"," - - Other","Ash and residues containing metals or metal compounds (excl. those from the manufacture of iron or steel and those containing primarily zinc, lead, copper, aluminium, vanadium, nickel, niobium, tantalum, tungsten, zinc, molybdenum, titanium, antimony, cobalt or zirconium)","-"
"517814","3","262100000080","260020000090","2621 00 00","26"," Other slag and ash, including seaweed ash (kelp)","Slag and ash, incl. seaweed ash ""kelp"" (excl. slag, incl. granulated, from the manufacture of iron or steel and ashes and residues containing metals or metal compounds)","-"
"517815","2","270020000090","250010000090","27"," V"," CHAPTER 27 - MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES","MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES",
"517816","3","270100000080","270020000090","2701","27"," Coal; briquettes, ovoids and similar solid fuels manufactured from coal","Coal; briquettes, ovoids and similar solid fuels manufactured from coal",
"517817","4","270111000010","270100000080",,"2701"," -  Coal, whether or not pulverized, but not agglomerated",,
"517818","5","270111000080","270111000010","2701 11",," - - Anthracite","Anthracite ""ECSC"", whether or not pulverized, non-agglomerated",
"517819","6","270111100080","270111000080","2701 11 10","2701 11"," - - - Having a volatile matter limit (on a dry, mineral-matter-free basis) not exceeding 10 % (ECSC)","Anthracite ""ECSC"", whether or not pulverized, having a volatile matter limit of <= 10% on a dry, mineral-matter-free basis, non-agglomerated","-"
"517820","6","270111900080","270111000080","2701 11 90","2701 11"," - - - Other (ECSC)","Anthracite ""ECSC"", whether or not pulverized, having a volatile matter limit of > 10% but <= 14% on a dry, mineral-matter-free basis, non-agglomerated","-"
"517821","5","270112000080","270111000010","2701 12",," - - Bituminous coal","Bituminous coal ""ECSC"", whether or not pulverized, non-agglomerated",
"517822","6","270112100080","270112000080","2701 12 10","2701 12"," - - - Coking coal (ECSC)","Coking coal ""ECSC"", whether or not pulverized, non-agglomerated","-"
"517823","6","270112900080","270112000080","2701 12 90","2701 12"," - - - Other (ECSC)","Bituminous coal ""ECSC"", whether or not pulverized, non-agglomerated (excl. coking)","-"
"517824","5","270119000080","270111000010","2701 19 00",," - - Other coal (ECSC)","Coal ""ECSC"", whether or not pulverized, non-agglomerated (excl. anthracite and bituminous coal)","-"
"517825","4","270120000080","270100000080","2701 20 00","2701"," -  Briquettes, ovoids and similar solid fuels manufactured from coal (ECSC)","Briquettes, ovoids and similar solid fuels manufactured from coal ""ECSC""","-"
"517826","3","270200000080","270020000090","2702","27"," Lignite, whether or not agglomerated, excluding jet","Lignite, whether or not agglomerated (excl. jet)",
"517827","4","270210000080","270200000080","2702 10 00","2702"," -  Lignite, whether or not pulverized, but not agglomerated (ECSC)","Lignite ""ECSC"", whether or not pulverized, non-agglomerated (excl. jet)","-"
"517828","4","270220000080","270200000080","2702 20 00","2702"," -  Agglomerated lignite (ECSC)","Agglomerated lignite ""ECSC"" (excl. jet)","-"
"517829","3","270300000080","270020000090","2703 00 00","27"," Peat (including peat litter), whether or not agglomerated","Peat, incl. peat litter, whether or not agglomerated","-"
"517830","3","270400000080","270020000090","2704 00","27"," Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon","Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",
"517831","4","270400110010","270400000080",,"2704 00"," -  Coke and semi-coke of coal",,
"517832","5","270400110080","270400110010","2704 00 11",," - - For the manufacture of electrodes","Coke and semi-coke of coal, whether or not agglomerated, for the manufacture of electrodes","-"
"517833","5","270400190080","270400110010","2704 00 19",," - - Other (ECSC)","Coke and semi-coke of coal ""ECSC"", whether or not agglomerated (excl. for the manufacture of electrodes)","-"
"517834","4","270400300080","270400000080","2704 00 30","2704 00"," -  Coke and semi-coke of lignite (ECSC)","Coke and semi-coke of lignite ""ECSC"", whether or not agglomerated","-"
"517835","4","270400900080","270400000080","2704 00 90","2704 00"," -  Other","Coke and semi-coke of peat, whether or not agglomerated; retort carbon","-"
"517836","3","270500000080","270020000090","2705 00 00","27"," Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","Coal gas, water gas, producer gas, lean gas and similar gases (excl. petroleum gases and other gaseous hydrocarbons)","1 000 m3"
"517837","3","270600000080","270020000090","2706 00 00","27"," Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars","Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, incl. reconstituted tars","-"
"517838","3","270700000080","270020000090","2707","27"," Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents","Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents",
"517839","4","270710000080","270700000080","2707 10","2707"," -  Benzole","Benzole (excl. chemically defined)",
"517840","5","270710100080","270710000080","2707 10 10","2707 10"," - - For use as a power or heating fuel","Benzole for use as a power or heating fuels (excl. chemically defined)","-"
"517841","5","270710900080","270710000080","2707 10 90","2707 10"," - - For other purposes","Benzole (excl. chemically defined and for power or heating fuels)","-"
"517842","4","270720000080","270700000080","2707 20","2707"," -  Toluole","Toluole (excl. chemically defined)",
"517843","5","270720100080","270720000080","2707 20 10","2707 20"," - - For use as a power or heating fuel","Toluole for use as a power or heating fuels (excl. chemically defined)","-"
"517844","5","270720900080","270720000080","2707 20 90","2707 20"," - - For other purposes","Toluole (excl. chemically defined and for power or heating fuels)","-"
"517845","4","270730000080","270700000080","2707 30","2707"," -  Xylole","Xylole (excl. chemically defined)",
"517846","5","270730100080","270730000080","2707 30 10","2707 30"," - - For use as a power or heating fuel","Xylole for use as a power or heating fuels (excl. chemically defined)","-"
"517847","5","270730900080","270730000080","2707 30 90","2707 30"," - - For other purposes","Xylole (excl. chemically defined and for power or heating fuels)","-"
"517848","4","270740000080","270700000080","2707 40 00","2707"," -  Naphthalene","Naphthalene (excl. chemically defined)","-"
"517849","4","270750000080","270700000080","2707 50","2707"," -  Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 °C by the ASTM D 86 method","Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°C by the ASTM D 86 method (excl. chemically defined compounds)",
"517850","5","270750100080","270750000080","2707 50 10","2707 50"," - - For use as power or heating fuels","Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°C by the ASTM D 86 method, for use as a power or heating fuels (excl. chemically defined compounds)","-"
"517851","5","270750900080","270750000080","2707 50 90","2707 50"," - - For other purposes","Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°C by the ASTM D 86 method (excl. chemically defined compounds and those for use as a power or heating fuels)","-"
"517852","4","270760000080","270700000080","2707 60 00","2707"," -  Phenols","Phenols (excl. chemically defined)","-"
"517853","4","270791000010","270700000080",,"2707"," -  Other",,
"517854","5","270791000080","270791000010","2707 91 00",," - - Creosote oils","Creosote oils (excl. chemically defined)","-"
"517855","5","270799000080","270791000010","2707 99",," - - Other","Oils and other products of the distillation of high temperature coal tars; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents (excl. chemically-defined compounds, benzole, toluole, xylole, naphthalene, aromatic hydrocarbon mixtures of subheading 2707.50, phenols and creosote oils)",
"517856","6","270799110010","270799000080",,"2707 99"," - - - Crude oils",,
"517857","7","270799110080","270799110010","2707 99 11",," - - - - Crude light oils of which 90 % or more by volume distils at temperatures of up to 200 °C","Crude light oils from the distillation of high temperature coal tars, of which >= 90% by volume distils at temperatures of up to 200°C (excl. chemically defined)","-"
"517858","7","270799190080","270799110010","2707 99 19",," - - - - Other","Crude light oils from the distillation of high temperature coal tars (excl. those of which >= 90% by volume distils at temperatures of up to 200°C and chemically defined compounds)","-"
"517859","6","270799300080","270799000080","2707 99 30","2707 99"," - - - Sulphuretted toppings","Sulphuretted toppings from the first distillation of high temperature coal tars","-"
"517860","6","270799500080","270799000080","2707 99 50","2707 99"," - - - Basic products","Pyridine, quinoline, acridine, aniline bases and other basic products of the first distillation of high temperature coal tars, n.e.s.","-"
"517861","6","270799700080","270799000080","2707 99 70","2707 99"," - - - Anthracene","Anthracene (excl. chemically defined)","-"
"517862","6","270799910010","270799000080",,"2707 99"," - - - Other",,
"517863","7","270799910080","270799910010","2707 99 91",," - - - - For the manufacture of the products of heading No 2803","Oils and other products of the distillation of high temperature coal tars and similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents, for the manufacture of carbon in heading 2803","-"
"517864","7","270799990080","270799910010","2707 99 99",," - - - - Other","Oils and other products of the distillation of high temperature coal tars and similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents, n.e.s.","-"
"517865","3","270800000080","270020000090","2708","27"," Pitch and pitch coke, obtained from coal tar or from other mineral tars","Pitch and pitch coke, obtained from coal tar or from other mineral tars",
"517866","4","270810000080","270800000080","2708 10 00","2708"," -  Pitch","Pitch obtained from coal tar or from other mineral tars","-"
"517867","4","270820000080","270800000080","2708 20 00","2708"," -  Pitch coke","Pitch coke obtained from coal tar or from other mineral tars","-"
"517868","3","270900000080","270020000090","2709 00","27"," Petroleum oils and oils obtained from bituminous minerals, crude","Petroleum oils and oils obtained from bituminous minerals, crude",
"517869","4","270900100080","270900000080","2709 00 10","2709 00"," -  Natural gas condensates","Natural gas condensates","-"
"517870","4","270900900080","270900000080","2709 00 90","2709 00"," -  Other","Petroleum oils and oils obtained from bituminous minerals, crude (excl. natural gas condensates)","-"
"517871","3","271000000080","270020000090","2710 00","27"," Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations","Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.",
"517872","4","271000110010","271000000080",,"2710 00"," -  Light oils",,
"517873","5","271000110080","271000110010","2710 00 11",," - - For undergoing a specific process","Light oils of petroleum or bituminous minerals for undergoing a specific process as defined in Additional Note 4 to chapter 27","-"
"517874","5","271000150080","271000110010","2710 00 15",," - - For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 00 11","Light oils of petroleum or bituminous minerals, for undergoing chemical transformation (excl. specific processes specified in Additional Note 4 to chapter 27)","-"
"517875","5","271000210010","271000110010",,," - - For other purposes",,
"517876","6","271000210020","271000210010",,," - - - Special spirits",,
"517877","7","271000210080","271000210020","2710 00 21",," - - - - White spirit","White spirit","-"
"517878","7","271000250080","271000210020","2710 00 25",," - - - - Other","Special spirits (excl. white spirit)","-"
"517879","6","271000260010","271000210010",,," - - - Other",,
"517880","7","271000260020","271000260010",,," - - - - Motor spirit",,
"517881","8","271000260080","271000260020","2710 00 26",," - - - - - Aviation spirit","Aviation spirit","-"
"517882","8","271000270010","271000260020",,," - - - - - Other, with a lead content",,
"517883","9","271000270020","271000270010",,," - - - - - - Not exceeding 0,013 g per litre",,
"517884","10","271000270080","271000270020","2710 00 27",," - - - - - - - With an octane number (RON) of less than 95","Motor spirit, with a lead content <= 0,013 g/l, with an research octane number ""RON"" of < 95","1 000 l"
"517885","10","271000290080","271000270020","2710 00 29",," - - - - - - - With an octane number (RON) of 95 or more but less than 98","Motor spirit, with a lead content <= 0,013 g/l, with an research octane number ""RON"" of >= 95, but < 98","1 000 l"
"517886","10","271000320080","271000270020","2710 00 32",," - - - - - - - With an octane number (RON) of 98 or more","Motor spirit, with a lead content <= 0,013 g/l, with an research octane number ""RON"" of >= 98","1 000 l"
"517887","9","271000340010","271000270010",,," - - - - - - Exceeding 0,013 g per litre",,
"517888","10","271000340080","271000340010","2710 00 34",," - - - - - - - With an octane number (RON) of less than 98","Motor spirit, with a lead content > 0,013 g/l, with an research octane number ""RON"" of < 98 (excl. aviation spirit)","1 000 l"
"517889","10","271000360080","271000340010","2710 00 36",," - - - - - - - With an octane number (RON) of 98 or more","Motor spirit, with a lead content > 0,013 g/l, with an research octane number ""RON"" of >= 98 (excl. aviation spirit)","1 000 l"
"517890","7","271000370080","271000260010","2710 00 37",," - - - - Spirit type jet fuel","Jet fuel, spirit type (excl. aviation spirit)","-"
"517891","7","271000390080","271000260010","2710 00 39",," - - - - Other light oils","Light oils of petroleum or bituminous minerals, n.e.s. (excl. for undergoing chemical transformation, for undergoing a specific process as defined in Additional Note 4 to chapter 27, and special spirits, motor spirit and spirit type jet fuel)","-"
"517892","4","271000410010","271000000080",,"2710 00"," -  Medium oils",,
"517893","5","271000410080","271000410010","2710 00 41",," - - For undergoing a specific process","Medium oils of petroleum or bituminous minerals for undergoing a specific process as defined in Additional Note 4 to chapter 27","-"
"517894","5","271000450080","271000410010","2710 00 45",," - - For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 00 41","Medium oils of petroleum or bituminous minerals, for undergoing chemical transformation (excl. specific processes specified in Additional Note 4 to chapter 27)","-"
"517895","5","271000510010","271000410010",,," - - For other purposes",,
"517896","6","271000510020","271000510010",,," - - - Kerosene",,
"517897","7","271000510080","271000510020","2710 00 51",," - - - - Jet fuel","Jet fuel, kerosene type","-"
"517898","7","271000550080","271000510020","2710 00 55",," - - - - Other","Kerosene (excl. jet fuel)","-"
"517899","6","271000590080","271000510010","2710 00 59",," - - - Other","Medium oils of petroleum or bituminous minerals, n.e.s. (excl. for undergoing chemical transformation, for undergoing a specific process as defined in Additional Note 4 to chapter 27, and kerosene)","-"
"517900","4","271000610010","271000000080",,"2710 00"," -  Heavy oils",,
"517901","5","271000610020","271000610010",,," - - Gas oils",,
"517902","6","271000610080","271000610020","2710 00 61",," - - - For undergoing a specific process","Gas oils of petroleum or bituminous minerals for undergoing a specific process as defined in Additional Note 4 to chapter 27","-"
"517903","6","271000650080","271000610020","2710 00 65",," - - - For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 00 61","Gas oils of petroleum or bituminous minerals, for undergoing chemical transformation (excl. specific processes specified in Additional Note 4 to chapter 27)","-"
"517904","6","271000660010","271000610020",,," - - - For other purposes",,
"517905","7","271000660080","271000660010","2710 00 66",," - - - - With a sulphur content not exceeding 0,05 % by weight","Gas oils of petroleum or bituminous minerals, with a sulphur content of <= 0,05% by weight (excl. for undergoing chemical transformation and for undergoing a specific process as defined in Additional Note 4 to chapter 27)","-"
"517906","7","271000670080","271000660010","2710 00 67",," - - - - With a sulphur content exceeding 0,05 % by weight but not exceeding 0,2 % by weight","Gas oils of petroleum or bituminous minerals, with a sulphur content of > 0,05% but <= 0,2% by weight (excl. for undergoing chemical transformation and for undergoing a specific process as defined in Additional Note 4 to chapter 27)","-"
"517907","7","271000680080","271000660010","2710 00 68",," - - - - With a sulphur content exceeding 0,2 % by weight","Gas oils of petroleum or bituminous minerals, with a sulphur content of > 0,2% by weight (excl. for undergoing chemical transformation and for undergoing a specific process as defined in Additional Note 4 to chapter 27)","-"
"517908","5","271000710010","271000610010",,," - - Fuel oils",,
"517909","6","271000710080","271000710010","2710 00 71",," - - - For undergoing a specific process","Fuel oils of petroleum or bituminous minerals for undergoing a specific process as defined in Additional Note 4 to chapter 27","-"
"517910","6","271000720080","271000710010","2710 00 72",," - - - For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 00 71","Fuel oils obtained from bituminous materials, for undergoing chemical transformation (excl. specific processes specified in Additional Note 4 to chapter 27)","-"
"517911","6","271000740010","271000710010",,," - - - For other purposes",,
"517912","7","271000740080","271000740010","2710 00 74",," - - - - With a sulphur content not exceeding 1 % by weight","Fuel oils obtained from bituminous materials, with a sulphur content of <= 1% by weight (excl. for undergoing chemical transformation or a process as specified in Additional Note 4 to chapter 27)","-"
"517913","7","271000760080","271000740010","2710 00 76",," - - - - With a sulphur content exceeding 1 % by weight but not exceeding 2 % by weight","Fuel oils obtained from bituminous materials, with a sulphur content of > 1% to 2% by weight (excl. for undergoing chemical transformation or a process as specified in Additional Note 4 to chapter 27)","-"
"517914","7","271000770080","271000740010","2710 00 77",," - - - - With a sulphur content exceeding 2 % by weight but not exceeding 2,8 % by weight","Fuel oils obtained from bituminous materials, with a sulphur content of > 2% to 2,8% by weight (excl. for undergoing chemical transformation or a process as specified in Additional Note 4 to chapter 27)","-"
"517915","7","271000780080","271000740010","2710 00 78",," - - - - With a sulphur content exceeding 2,8 % by weight","Fuel oils obtained from bituminous materials, with a sulphur content of > 2,8% by weight (excl. for undergoing chemical transformation or a process as specified in Additional Note 4 to chapter 27)","-"
"517916","5","271000810010","271000610010",,," - - Lubricating oils; other oils",,
"517917","6","271000810080","271000810010","2710 00 81",," - - - For undergoing a specific process","Lubricating oils and other preparations containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, for undergoing a process as specified in Additional Note 4 to chapter 27","-"
"517918","6","271000830080","271000810010","2710 00 83",," - - - For undergoing chemical transformation by a process other than those specified in respect of subheading 2710 00 81","Lubricating oils and other preparations containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, for undergoing chemical transformation (excl. specific processes specified in Additional Note 4 to chapter 27)","-"
"517919","6","271000870010","271000810010",,," - - - For other purposes",,
"517920","7","271000870080","271000870010","2710 00 87",," - - - - Motor oils, compressor lube oils, turbine lube oils","Motor oils, compressor lube oils and turbine lube oils containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations (excl. for undergoing chemical transformation or the specific processes specified in Additional Note 4 to chapter 27 and to be mixed in accordance with the terms of Additional Note 6 to chapter 27)","-"
"517921","7","271000880080","271000870010","2710 00 88",," - - - - Liquids for hydraulic purposes","Liquids for hydraulic purposes containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations (excl. for undergoing chemical transformation or the specific processes specified in Additional Note 4 to chapter 27 and to be mixed in accordance with the terms of Additional Note 6 to chapter 27)","-"
"517922","7","271000890080","271000870010","2710 00 89",," - - - - White oils, liquid paraffin","White oils, liquid paraffin containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituent of the preparations (excl. for undergoing chemical transformation or the specific processes specified in Additional Note 4 to chapter 27 and to be mixed in accordance with the terms of Additional Note 6 to chapter 27)","-"
"517923","7","271000920080","271000870010","2710 00 92",," - - - - Gear oils and reductor oils","Gear oils and reductor oils containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituent of the preparations (excl. for undergoing chemical transformation or the specific processes specified in Additional Note 4 to chapter 27 and to be mixed in accordance with the terms of Additional Note 6 to chapter 27)","-"
