"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit","Description of supplementary unit"
"314781","7","010511910080","010511910010","0105 11 91",,"---- Laying stocks","Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314782","7","010511990080","010511910010","0105 11 99",,"---- Other","Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. turkeys, guinea fowls, grandparent and parent female chicks and laying stocks)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314783","5","010512000080","010511000010","0105 12 00",,"-- Turkeys","Live domestic turkeys, weighing <= 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314784","5","010519000080","010511000010","0105 19",,"-- Other","Live domestic ducks, geese and guinea fowls, weighing <= 185 g",,
"314785","6","010519200080","010519000080","0105 19 20","0105 19","--- Geese","Live domestic geese, weighing <= 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314786","6","010519900080","010519000080","0105 19 90","0105 19","--- Ducks and guinea fowls","Live domestic ducks and guinea fowls, weighing <= 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314787","4","010592000010","010500000080",,"0105","- Other",,,
"314788","5","010592000080","010592000010","0105 92 00",,"-- Fowls of the species Gallus domesticus weighing not more than 2 000 g","Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314789","5","010593000080","010592000010","0105 93 00",,"-- Fowls of the species Gallus domesticus weighing more than 2 000 g","Live fowls of the species Gallus domesticus, weighing > 2 kg","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314790","5","010599000080","010592000010","0105 99",,"-- Other","Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",,
"314791","6","010599100080","010599000080","0105 99 10","0105 99","--- Ducks","Live domestic ducks, weighing > 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314792","6","010599200080","010599000080","0105 99 20","0105 99","--- Geese","Live domestic geese, weighing > 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314793","6","010599300080","010599000080","0105 99 30","0105 99","--- Turkeys","Live domestic turkeys, weighing > 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314794","6","010599500080","010599000080","0105 99 50","0105 99","--- Guinea fowls","Live domestic guinea fowls, weighing > 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314795","3","010600000080","010021000090","0106","01"," Other live animals","Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",,
"314796","4","010611000010","010600000080",,"0106","- Mammals",,,
"314797","5","010611000080","010611000010","0106 11 00",,"-- Primates","Live primates","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314798","5","010612000080","010611000010","0106 12 00",,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","Live whales, dolphins and purpoises ""mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia""","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314799","5","010619000080","010611000010","0106 19",,"-- Other","Live mammals (excl. primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",,
"314800","6","010619100080","010619000080","0106 19 10","0106 19","--- Domestic rabbits","Live domestic rabbits","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314801","6","010619900080","010619000080","0106 19 90","0106 19","--- Other","Live mammals (excl. primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", horses, asses, mules, hinnies, bovines, pigs, sheep, goats and domestic rabbits)",,
"314802","4","010620000080","010600000080","0106 20 00","0106","- Reptiles (including snakes and turtles)","Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314803","4","010631000010","010600000080",,"0106","- Birds",,,
"314804","5","010631000080","010631000010","0106 31 00",,"-- Birds of prey","Live birds of prey","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314805","5","010632000080","010631000010","0106 32 00",,"-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314806","5","010639000080","010631000010","0106 39",,"-- Other","Live birds (excl. birds of prey and psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"")",,
"314807","6","010639100080","010639000080","0106 39 10","0106 39","--- Pigeons","Live pigeons","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"314808","6","010639900080","010639000080","0106 39 90","0106 39","--- Other","Live birds (excl. birds of prey, psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"" and pigeons)",,
"314809","4","010690000080","010600000080","0106 90 00","0106","- Other","Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",,
"314810","2","020021000090","010011000090","02","I"," CHAPTER 2 - MEAT AND EDIBLE MEAT OFFAL","MEAT AND EDIBLE MEAT OFFAL",,
"314811","3","020100000080","020021000090","0201","02"," Meat of bovine animals, fresh or chilled","Meat of bovine animals, fresh or chilled",,
"314812","4","020110000080","020100000080","0201 10 00","0201","- Carcases and half-carcases","Carcases or half-carcases of bovine animals, fresh or chilled",,
"314813","4","020120000080","020100000080","0201 20","0201","- Other cuts with bone in","Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",,
"314814","5","020120200080","020120000080","0201 20 20","0201 20","-- ‘Compensated’ quarters","""Compensated"" quarters of bovine animals with bone in, fresh or chilled",,
"314815","5","020120300080","020120000080","0201 20 30","0201 20","-- Unseparated or separated forequarters","Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled",,
"314816","5","020120500080","020120000080","0201 20 50","0201 20","-- Unseparated or separated hindquarters","Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled",,
"314817","5","020120900080","020120000080","0201 20 90","0201 20","-- Other","Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)",,
"314818","4","020130000080","020100000080","0201 30 00","0201","- Boneless","Fresh or chilled bovine meat, boneless",,
"314819","3","020200000080","020021000090","0202","02"," Meat of bovine animals, frozen","Meat of bovine animals, frozen",,
"314820","4","020210000080","020200000080","0202 10 00","0202","- Carcases and half-carcases","Frozen bovine carcases and half-carcases",,
"314821","4","020220000080","020200000080","0202 20","0202","- Other cuts with bone in","Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",,
"314822","5","020220100080","020220000080","0202 20 10","0202 20","-- ‘Compensated’ quarters","Frozen ""compensated"" bovine quarters, with bone in",,
"314823","5","020220300080","020220000080","0202 20 30","0202 20","-- Unseparated or separated forequarters","Frozen unseparated or separated bovine forequarters, with bone in",,
"314824","5","020220500080","020220000080","0202 20 50","0202 20","-- Unseparated or separated hindquarters","Frozen unseparated or separated bovine hindquarters, with bone in",,
"314825","5","020220900080","020220000080","0202 20 90","0202 20","-- Other","Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)",,
"314826","4","020230000080","020200000080","0202 30","0202","- Boneless","Frozen, boneless meat of bovine animals",,
"314827","5","020230100080","020230000080","0202 30 10","0202 30","-- Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; ‘compensated’ quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece","Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin in one peace",,
"314828","5","020230500080","020230000080","0202 30 50","0202 30","-- Crop, chuck and blade and brisket cuts","Frozen bovine boneless crop, chuck and blade and brisket cuts",,
