"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit","Description of supplementary unit"
"321804","5","480449000080","480441000010","4804 49",,"-- Other","Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing > 150 g to < 225 g/m² (excl. unbleached, bleached uniformly in the mass and containing > 95% chemically processed wood fibre by weight in relation to the total fibre content, kraftliner, sack kraft paper and goods of heading 4802, 4803 or 4808)",,
"321805","6","480449100080","480449000080","4804 49 10","4804 49","--- Of which not less than 80 % by weight of the total fibre content consists of coniferous fibres obtained by the chemical sulphate or soda process","Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing > 150 g to < 225 g/m², containing >= 80% coniferous wood sulphate or soda pulp by weight in relation to the total fibre content (excl. unbleached, bleached uniformly in the mass and containing > 95% chemically prepared wood fibre by weight in relation to the total fibre content)",,
"321806","6","480449900080","480449000080","4804 49 90","4804 49","--- Other","Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing > 150 g to < 225 g/m² (excl. unbleached, bleached uniformly in the mass containing > 95% chemically prepared wood fibre or >= 80% coniferous wood sulphate or soda pulp by weight in relation to the total fibre content)",,
"321807","4","480451000010","480400000080",,"4804","- Other kraft paper and paperboard weighing 225 g/m² or more",,,
"321808","5","480451000080","480451000010","4804 51",,"-- Unbleached","Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m² (excl. kraftliner, sack kraft paper and goods of heading 4802, 4803 or 4808)",,
"321809","6","480451100080","480451000080","4804 51 10","4804 51","--- Of which not less than 80 % by weight of the total fibre content consists of coniferous fibres obtained by the chemical sulphate or soda process","Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m², containing >= 80% coniferous wood sulphate or soda pulp by weight in relation to the total fibre content (excl. kraftliner, sack kraft paper and goods of heading 4802, 4803 or 4808)",,
"321810","6","480451900080","480451000080","4804 51 90","4804 51","--- Other","Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m² (excl. that containing >= 80% coniferous wood sulphate or soda pulp by weight in relation to the total fibre content, kraftliner, sack kraft paper and goods of heading 4802, 4803 or 4808)",,
"321811","5","480452000080","480451000010","4804 52",,"-- Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process","Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m², bleached uniformly in the mass, containing > 95% chemically processed wood fibre by weight in relation to the total fibre content (excl. kraftliner, sack kraft paper and goods of heading 4802, 4803 or 4808)",,
"321812","6","480452100080","480452000080","4804 52 10","4804 52","--- Of which not less than 80 % by weight of the total fibre content consists of coniferous fibres obtained by the chemical sulphate or soda process","Kraft paper and paperboard, uncoated, in strips or rolls of a width > 36 cm or in rectangular ""incl. square"" sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m², bleached uniformly in the mass, containing > 95% chemically prepared wood fibre and >= 80% coniferous wood sulphate or soda pulp by weight in relation to the total fibre content",,
"321813","6","480452900080","480452000080","4804 52 90","4804 52","--- Other","Kraft paper and paperboard, uncoated, in strips or rolls of a width > 36 cm or in rectangular ""incl. square"" sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m², bleached uniformly in the mass, containing > 95% chemically prepared wood fibre by weight in relation to the total fibre content (excl. that containing >= 80% coniferous wood sulphate or soda pulp by weight in relation to the total fibre content)",,
"321814","5","480459000080","480451000010","4804 59",,"-- Other","Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m² (excl. unbleached or bleached uniformly in the mass and containing > 95% chemically prepared wood fibre by weight in relation to the total fibre content, and kraftliner, sack kraft paper and goods of heading 4802, 4803 or 4808)",,
"321815","6","480459100080","480459000080","4804 59 10","4804 59","--- Of which not less than 80 % by weight of the total fibre content consists of coniferous fibres obtained by the chemical sulphate or soda process","Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m², containing >= 80% coniferous wood sulphate or soda pulp by weight in relation to the total fibre content (excl. unbleached or bleached uniformly in the mass and containing > 95% chemically prepared wood fibre by weight in relation to the total fibre content)",,
"321816","6","480459900080","480459000080","4804 59 90","4804 59","--- Other","Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m² (excl. unbleached or bleached uniformly in the mass and containing > 95% chemically prepared wood fibre or >= 80% coniferous wood sulphate or soda pulp by weight in relation to the total fibre content)",,
"321817","3","480500000080","480021000090","4805","48"," Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in note 3 to this chapter","Other paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, not worked other than as specified in Note 3 to this chapter, n.e.s.",,
"321818","4","480511000010","480500000080",,"4805","- Fluting paper",,,
"321819","5","480511000080","480511000010","4805 11 00",,"-- Semi-chemical fluting paper","Semi-chemical fluting paper, uncoated, in rolls of a width > 36 cm",,
"321820","5","480512000080","480511000010","4805 12 00",,"-- Straw fluting paper","Straw fluting paper, in rolls of a width > 36 cm, weighing >= 130 g/m²",,
"321821","5","480519000080","480511000010","4805 19",,"-- Other","Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. semi-chemical fluting paper and straw fluting paper)",,
"321822","6","480519100080","480519000080","4805 19 10","4805 19","--- Wellenstoff","Wellenstoff, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321823","6","480519900080","480519000080","4805 19 90","4805 19","--- Other","Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. semi-chemical fluting paper, straw fluting paper and Wellenstoff)",,
"321824","4","480524000010","480500000080",,"4805","- Testliner (recycled liner board)",,,
"321825","5","480524000080","480524000010","4805 24 00",,"-- Weighing 150 g/m² or less","Testliner ""recycled liner board"", uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing <= 150 g/m²",,
"321826","5","480525000080","480524000010","4805 25 00",,"-- Weighing more than 150 g/m²","Testliner ""recycled liner board"", uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing > 150 g/m²",,
"321827","4","480530000080","480500000080","4805 30","4805","- Sulphite wrapping paper","Sulphite wrapping paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321828","5","480530100080","480530000080","4805 30 10","4805 30","-- Weighing less than 30 g/m²","Sulphite wrapping paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing < 30 g/m²",,
"321829","5","480530900080","480530000080","4805 30 90","4805 30","-- Weighing 30 g/m² or more","Sulphite wrapping paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 30 g/m²",,
"321830","4","480540000080","480500000080","4805 40 00","4805","- Filter paper and paperboard","Filter paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321831","4","480550000080","480500000080","4805 50 00","4805","- Felt paper and paperboard","Felt paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321832","4","480591000010","480500000080",,"4805","- Other",,,
"321833","5","480591000080","480591000010","4805 91 00",,"-- Weighing 150 g/m² or less","Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing <= 150 g/m², n.e.s.",,
"321834","5","480592000080","480591000010","4805 92 00",,"-- Weighing more than 150 g/m² but less than 225 g/m²","Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing > 150 g to < 225 g/m², n.e.s.",,
"321835","5","480593000080","480591000010","4805 93",,"-- Weighing 225 g/m² or more","Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m², n.e.s.",,
"321836","6","480593200080","480593000080","4805 93 20","4805 93","--- Made from recovered paper","Paper and paperboard made from recovered paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m², n.e.s.",,
"321837","6","480593800080","480593000080","4805 93 80","4805 93","--- Other","Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing >= 225 g/m², n.e.s.",,
"321838","3","480600000080","480021000090","4806","48"," Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls or sheets","Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321839","4","480610000080","480600000080","4806 10 00","4806","- Vegetable parchment","Vegetable parchment, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321840","4","480620000080","480600000080","4806 20 00","4806","- Greaseproof papers","Greaseproof papers, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321841","4","480630000080","480600000080","4806 30 00","4806","- Tracing papers","Tracing papers, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321842","4","480640000080","480600000080","4806 40","4806","- Glassine and other glazed transparent or translucent papers","Glassine and other glazed transparent or translucent papers, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. vegetable parchment, greaseproof papers and tracing papers)",,
"321843","5","480640100080","480640000080","4806 40 10","4806 40","-- Glassine papers","Glassine papers in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321844","5","480640900080","480640000080","4806 40 90","4806 40","-- Other","Transparent or translucent papers, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. vegetable parchment, greaseproof papers, tracing papers and glassine papers)",,
"321845","3","480700000080","480021000090","4807 00","48"," Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets","Composite paper and paperboard ""made by sticking flat layers of paper or paperboard together with an adhesive"", not surface-coated or impregnated, whether or not internally reinforced, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321846","4","480700300080","480700000080","4807 00 30","4807 00","- Made from recovered paper, whether or not covered with paper","Composite paper and paperboard made from recovered paper, whether or not covered with paper, not surface-coated or impregnated, whether or not internally reinforced, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. that laminated internally with bitumen, tar or asphalt)",,
"321847","4","480700800080","480700000080","4807 00 80","4807 00","- Other","Composite paper and paperboard, not surface-coated or impregnated, whether or not internally reinforced, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. that laminated internally with bitumen, tar or asphalt; straw paper and paperboard, whether or not covered with non-straw paper; paper and paperboard made from recovered paper, whether or not coated with paper)",,
"321848","3","480800000080","480021000090","4808","48"," Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind described in heading 4803","Corrugated paper and paperboard ""with or without glued flat surface sheets"", creped, crinkled, embossed or perforated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. goods of heading 4803)",,
"321849","4","480810000080","480800000080","4808 10 00","4808","- Corrugated paper and paperboard, whether or not perforated","Corrugated paper and paperboard ""with or without glued flat surface sheets"", whether or not perforated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321850","4","480820000080","480800000080","4808 20 00","4808","- Sack kraft paper, creped or crinkled, whether or not embossed or perforated","Sack kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321851","4","480830000080","480800000080","4808 30 00","4808","- Other kraft paper, creped or crinkled, whether or not embossed or perforated","Kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. sack kraft paper)",,
"321852","4","480890000080","480800000080","4808 90 00","4808","- Other","Paper and paperboard, creped, crinkled, embossed or perforated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. sack kraft and other kraft paper, and goods of heading 4803)",,
"321853","3","480900000080","480021000090","4809","48"," Carbon paper, self-copy paper and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, in rolls or sheets","Carbon paper, self-copy paper and other copying or transfer papers, incl. coated or impregnated paper for duplicator stencils or offset plates, whether or not printed, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321854","4","480910000080","480900000080","4809 10 00","4809","- Carbon or similar copying papers","Carbon and similar copying papers, whether or not printed, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321855","4","480920000080","480900000080","4809 20","4809","- Self-copy paper","Self-copy paper, whether or not printed, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. carbon and similar copying papers)",,
"321856","5","480920100080","480920000080","4809 20 10","4809 20","-- In rolls","Self-copy paper, whether or not printed, in rolls of a width > 36 cm (excl. carbon and similar copying papers)",,
"321857","5","480920900080","480920000080","4809 20 90","4809 20","-- In sheets","Self-copy paper, whether or not printed, in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. carbon and similar copying papers)",,
"321858","4","480990000080","480900000080","4809 90 00","4809","- Other","Transfer papers, incl. coated or impregnated paper for duplicator stencils or offset plates, whether or not printed, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. carbon and similar copying papers, and self-copy paper)",,
"321859","3","481000000080","480021000090","4810","48"," Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size","Paper and paperboard, coated on one or both sides with kaolin ""China clay"" or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or printed, in rolls or in square or rectangular sheets, of any size (excl. all other coated papers and paperboards)",,
"321860","4","481013000010","481000000080",,"4810","- Paper and paperboard of a kind used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical or chemi-mechanical process or of which not more than 10 % by weight of the total fibre content consists of such fibres",,,
"321861","5","481013000080","481013000010","4810 13",,"-- In rolls","Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical or chemi-mechanical process or of which <= 10% by weight of the total fibre content consists of such fibres, coated on one or both sides with kaolin or other inorganic substances, in rolls of any size",,
"321862","6","481013200080","481013000080","4810 13 20","4810 13","--- Paper and paperboard of a kind used as a base for photosensitive, heat-sensitive or electrosensitive paper or paperboard, weighing not more than 150 g/m²","Paper and paperboard used as a base for photosensitive, heat-sensitive or electrosensitive paper or paperboard, not containing fibres obtained by a mechanical or chemi-mechanical process or of which <= 10% by weight of the total fibre content consists of such fibres, coated on one or both sides with kaolin or other inorganic substances, in rolls, weighing <= 150 g/m²",,
"321863","6","481013800080","481013000080","4810 13 80","4810 13","--- Other","Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical or chemi-mechanical process or of which <= 10% by weight of the total fibre content consists of such fibres, coated on one or both sides with kaolin or other inorganic substances, in rolls (excl. those used as a base for photosensitive, heat-sensitive or electrosensitive paper or paperboard weighing <= 150 g/m²; paper and paperboard for office machines and the like)",,
"321864","5","481014000080","481013000010","4810 14",,"-- In sheets with one side not exceeding 435 mm and the other side not exceeding 297 mm in the unfolded state","Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical or chemi-mechanical process or of which <= 10% by weight of the total fibre content consists of such fibres, coated on one or both sides with kaolin or other inorganic substances, in square or rectangular sheets with one side <= 435 mm and the other side <= 297 mm in the unfolded state",,
"321865","6","481014200080","481014000080","4810 14 20","4810 14","--- Paper and paperboard of a kind used as a base for photosensitive, heat-sensitive or electrosensitive paper or paperboard, weighing not more than 150 g/m²","Paper and paperboard used as a base for photosensitive, heat-sensitive or electrosensitive paper or paperboard, not containing fibres obtained by a mechanical or chemi-mechanical process or of which <= 10% by weight of the total fibre content consists of such fibres, coated on one or both sides with kaolin or other inorganic substances, in square or rectangular sheets with one side <= 435 mm and the other side <= 297 mm in the unfolded state and weighing <= 150 g/m²",,
"321866","6","481014800080","481014000080","4810 14 80","4810 14","--- Other","Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical or chemi-mechanical process or of which <= 10% by weight of the total fibre content consists of such fibres, coated on one or both sides with kaolin or other inorganic substances, in square or rectangular sheets with one side <= 435 mm and the other side <= 297 mm in the unfolded state (excl. those used as a base for photosensitive, heat-sensitive or electrosensitive paper or paperboard weighing <= 150 g/m²)",,
"321867","5","481019000080","481013000010","4810 19",,"-- Other","Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical or chemi-mechanical process or of which <= 10% by weight of the total fibre content consists of such fibres, coated on one or both sides with kaolin or other inorganic substances, in square or rectangular sheets with one side > 435 mm or with one side <= 435 mm and the other side > 297 mm in the unfolded state",,
"321868","6","481019100080","481019000080","4810 19 10","4810 19","--- Paper and paperboard of a kind used as a base for photosensitive, heat-sensitive or electrosensitive paper or paperboard, weighing not more than 150 g/m²","Paper and paperboard used as a base for photosensitive, heat-sensitive or electrosensitive paper or paperboard, not containing fibres obtained by a mechanical or chemi-mechanical process or of which <= 10% by weight of the total fibre content consists of such fibres, coated on one or both sides with kaolin or other inorganic substances, in square or rectangular sheets with one side > 435 mm or with one side <= 435 mm and the other side > 297 mm in the unfolded state and weighing <= 150 g/m²",,
"321869","6","481019900080","481019000080","4810 19 90","4810 19","--- Other","Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical or chemi-mechanical process or of which <= 10% by weight of the total fibre content consists of such fibres, coated on one or both sides with kaolin or other inorganic substances, in square or rectangular sheets with one side > 435 mm or with one side <= 435 mm and the other side > 297 mm in the unfolded state (excl. those used as a base for photosensitive, heat-sensitive or electrosensitive paper or paperboard weighing <= 150 g/m²)",,
"321870","4","481022000010","481000000080",,"4810","- Paper and paperboard of a kind used for writing, printing or other graphic purposes, of which more than 10 % by weight of the total fibre content consists of fibres obtained by a mechanical or chemi-mechanical process",,,
"321871","5","481022000080","481022000010","4810 22",,"-- Lightweight coated paper","Lightweight coated paper used for writing, printing or other graphic purposes, total weight <= 72 g/m², coating weight <= 15 g/m² per side, on a base of which >= 50% by weight of the total fibre content consists of fibres obtained by a mechanical process, coated on both sides with kaolin or other inorganic substances, in rolls or in square or rectangular sheets, of any size",,
"321872","6","481022100080","481022000080","4810 22 10","4810 22","--- In rolls of a width exceeding 15 cm or in sheets  with one side exceeding 36 cm and the other side exceeding 15 cm in the unfolded state","Lightweight coated paper used for writing, printing or other graphic purposes, total weight <= 72 g/m², coating weight <= 15 g/m² per side, on a base of which >= 50% by weight of the total fibre content consists of fibres obtained by a mechanical process, coated on both sides with kaolin or other inorganic substances, in rolls of a width > 15 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state",,
"321873","6","481022900080","481022000080","4810 22 90","4810 22","--- Other","Lightweight coated paper used for writing, printing or other graphic purposes, total weight <= 72 g/m², coating weight <= 15 g/m² per side, on a base of which >= 50% by weight of the total fibre content consists of fibres obtained by a mechanical process, coated on both sides with kaolin or other inorganic substances, in rolls of a width <= 15 cm or in square or rectangular sheets with one side <= 36 cm or with one side > 36 cm and the other side <= 15 cm in the unfolded state (excl. for office machines and the like)",,
"321874","5","481029000080","481022000010","4810 29",,"-- Other","Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by weight of the total fibre content consists of fibres obtained by a mechanical or chemi-mechanical process, coated on one or both sides with kaolin or other inorganic substances, in rolls or in square or rectangular sheets, of any size (excl. lightweight paper)",,
"321875","6","481029300080","481029000080","4810 29 30","4810 29","--- In rolls","Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by weight of the total fibre content consists of fibres obtained by a mechanical or chemi-mechanical process, coated on one or both sides with kaolin or other inorganic substances, in rolls of any size (excl. lightweight paper; paper and paperboard for office machines and the like)",,
"321876","6","481029800080","481029000080","4810 29 80","4810 29","--- Other","Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by weight of the total fibre content consists of fibres obtained by a mechanical or chemi-mechanical process, coated on one or both sides with kaolin or other inorganic substances, in square or rectangular sheets of any size (excl. lightweight paper; paper and paperboard for office machines and the like)",,
"321877","4","481031000010","481000000080",,"4810","- Kraft paper and paperboard, other than that of a kind used for writing, printing or other graphic purposes",,,
"321878","5","481031000080","481031000010","4810 31 00",,"-- Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing 150 g/m² or less","Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically processed wood fibres by weight in relation to the total fibre content, coated on one or both sides with kaolin or other inorganic substances, in rolls or in square or rectangular sheets, of any size, weighing <= 150 g/m² (excl. that for writing, printing or other graphic purposes)",,
"321879","5","481032000080","481031000010","4810 32",,"-- Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing more than 150 g/m²","Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically processed wood fibres by weight in relation to the total fibre content, coated on one or both sides with kaolin or other inorganic substances, in rolls or in square or rectangular sheets, of any size, weighing > 150 g/m² (excl. that for writing, printing or other graphic purposes)",,
"321880","6","481032100080","481032000080","4810 32 10","4810 32","--- Coated with kaolin","Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically processed wood fibres by weight in relation to the total fibre content, coated on one or both sides with kaolin, in rolls or in square or rectangular sheets, of any size, weighing > 150 g/m² (excl. that for writing, printing or other graphic purposes)",,
"321881","6","481032900080","481032000080","4810 32 90","4810 32","--- Other","Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically processed wood fibres by weight in relation to the total fibre content, coated on one or both sides with inorganic substances, in rolls or in square or rectangular sheets, of any size, weighing > 150 g/m² (excl. kraft paper coated with kaolin; paper and paperboard for graphic purposes)",,
"321882","5","481039000080","481031000010","4810 39 00",,"-- Other","Kraft paper and paperboard, coated on one or both sides with kaolin or other inorganic substances, in rolls or in square or rectangular sheets, of any size (excl. that for writing, printing or other graphic purposes; paper and paperboard bleached uniformly in the mass and containing > 95% chemically processed wood fibres by weight in relation to the total fibre content)",,
"321883","4","481092000010","481000000080",,"4810","- Other paper and paperboard",,,
"321884","5","481092000080","481092000010","4810 92",,"-- Multi-ply","Multi-ply paper and paperboard, coated on one or both sides with kaolin or other inorganic substances, in rolls or in square or rectangular sheets, of any size (excl. that for writing, printing or other graphic purposes, kraft paper and paperboard)",,
"321885","6","481092100080","481092000080","4810 92 10","4810 92","--- Each layer bleached","Multi-ply paper and paperboard, each layer bleached, coated on one or both sides with kaolin or other inorganic substances, in rolls or in square or rectangular sheets, of any size (excl. that for writing, printing or other graphic purposes, kraft paper and paperboard)",,
"321886","6","481092300080","481092000080","4810 92 30","4810 92","--- With only one outer layer bleached","Multi-ply paper and paperboard, with only one outer layer bleached, coated on one or both sides with kaolin or other inorganic substances, in rolls or in square or rectangular sheets, of any size (excl. that for writing, printing or other graphic purposes, kraft paper and paperboard)",,
"321887","6","481092900080","481092000080","4810 92 90","4810 92","--- Other","Multi-ply paper and paperboard, coated on one or both sides with kaolin or other inorganic substances, in rolls or in square or rectangular sheets, of any size (excl. multi-ply paper and paperboard with each layer bleached, with one bleached outer layer only, paper and paperboard for writing, printing or other graphic purposes, kraft paper and paperboard)",,
"321888","5","481099000080","481092000010","4810 99",,"-- Other","Paper and paperboard, coated on one or both sides with kaolin ""China clay"" or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or printed, in rolls or in square or rectangular sheets, of any size (excl. that for writing, printing or other graphic purposes, kraft paper and paperboard, multi-ply paper and paperboard, and with no other coating)",,
"321889","6","481099100080","481099000080","4810 99 10","4810 99","--- Bleached paper and paperboard, coated with kaolin","Bleached paper and paperboard, coated on one or both sides with kaolin, in rolls or in square or rectangular sheets, of any size (excl. that for writing, printing or other graphic purposes, kraft paper and paperboard, multi-ply paper and paperboard, and with no other coating)",,
"321890","6","481099300080","481099000080","4810 99 30","4810 99","--- Coated with mica powder","Paper and paperboard, coated on one or both sides with mica powder, in rolls or in square or rectangular sheets, of any size (excl. that for writing, printing or other graphic purposes, kraft paper and paperboard, multi-ply paper and paperboard, and with no other coating)",,
"321891","6","481099900080","481099000080","4810 99 90","4810 99","--- Other","Paper and paperboard, coated on one or both sides with inorganic substances, in rolls or in square or rectangular sheets, of any size (excl. bleached paper and paperboard coated with kaolin, paper and paperboard coated with mica powder, paper or paperboard for writing, printing or other graphic purposes, kraft paper and paperboard, multi-ply paper and paperboard, and with no other coating)",,
"321892","3","481100000080","480021000090","4811","48"," Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size, other than goods of the kind described in heading 4803, 4809 or 4810","Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or in square or rectangular sheets, of any size (excl. goods of heading 4803, 4809 and 4810)",,
"321893","4","481110000080","481100000080","4811 10 00","4811","- Tarred, bituminised or asphalted paper and paperboard","Tarred, bituminised or asphalted paper and paperboard, in rolls or in square or rectangular sheets, of any size",,
"321894","4","481141000010","481100000080",,"4811","- Gummed or adhesive paper and paperboard",,,
"321895","5","481141000080","481141000010","4811 41",,"-- Self-adhesive","Self-adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in rolls or in square or rectangular sheets, of any size (excl. goods of heading 4810)",,
