"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit"
"484991","6","010599100080","010599000080","0105 99 10","0105 99","Ducks","Live domestic ducks, weighing > 185 g","p/st"
"484992","6","010599200080","010599000080","0105 99 20","0105 99","Geese","Live domestic geese, weighing > 185 g","p/st"
"484993","6","010599300080","010599000080","0105 99 30","0105 99","Turkeys","Live domestic turkeys, weighing > 185 g","p/st"
"484994","6","010599500080","010599000080","0105 99 50","0105 99","Guinea fowls","Live domestic guinea fowls, weighing > 185 g","p/st"
"484995","3","010600000080","010020000090","0106","01","Other live animals","Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",
"484996","4","010611000010","010600000080",,"0106","Mammals",,
"484997","5","010611000080","010611000010","0106 11 00",,"Primates","Live primates","p/st"
"484998","5","010612000080","010611000010","0106 12 00",,"Whales, dolphins and purpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","Live whales, dolphins and purpoises ""mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia""","p/st"
"484999","5","010619000080","010611000010","0106 19",,"Other","Live mammals (excl. primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",
"485000","6","010619100080","010619000080","0106 19 10","0106 19","Domestic rabbits","Live domestic rabbits","p/st"
"485001","6","010619900080","010619000080","0106 19 90","0106 19","Other","Live mammals (excl. primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", horses, asses, mules, hinnies, bovines, pigs, sheep, goats and domestic rabbits)","-"
"485002","4","010620000080","010600000080","0106 20 00","0106","Reptiles (including snakes and turtles)","Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""","p/st"
"485003","4","010631000010","010600000080",,"0106","Birds",,
"485004","5","010631000080","010631000010","0106 31 00",,"Birds of prey","Live birds of prey","p/st"
"485005","5","010632000080","010631000010","0106 32 00",,"Psittaciformes (including parrots, parrakeets, macaws and cockatoos)","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""","p/st"
"485006","5","010639000080","010631000010","0106 39",,"Other","Live birds (excl. birds of prey and psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"")",
