"Order","Level","Code","Parent","Code","Parent","Supplementary unit","Description","Self-explanatory texts","Description of supplementary unit","Unit","Explanatory notes","Unit","Illustration","Illustration"
"51834","6","020442100080","020442000080","0204 42 10","0204 42",,"- - - Short forequarters","Frozen sheep short forequarters",,,,,,
"51835","6","020442300080","020442000080","0204 42 30","0204 42",,"- - - Chines and/or best ends","Frozen sheep chines and/or best ends",,,,,,
"51836","6","020442500080","020442000080","0204 42 50","0204 42",,"- - - Legs","Frozen sheep legs",,,,,,
"51837","6","020442900080","020442000080","0204 42 90","0204 42",,"- - - Other","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",,,,,,
"51838","5","020443000080","020441000010","0204 43",,,"- - Boneless","Frozen boneless cuts of sheep",,,,,,
"51839","6","020443100080","020443000080","0204 43 10","0204 43",,"- - - Of lamb","Frozen meat of lambs, boneless, frozen",,,,,,
"51840","6","020443900080","020443000080","0204 43 90","0204 43",,"- - - Other","Frozen meat of sheep, boneless (excl. lamb)",,,,,,
"51841","4","020450000080","020400000080","0204 50","0204",,"- Meat of goats","Fresh, chilled or frozen meat of goats",,,,,,
"51842","5","020450110010","020450000080",,"0204 50",,"- - Fresh or chilled",,,,,,,
"51843","6","020450110080","020450110010","0204 50 11",,,"- - - Carcases and half-carcases","Fresh or chilled goat carcases and half-carcases",,,,,,
"51844","6","020450130080","020450110010","0204 50 13",,,"- - - Short forequarters","Fresh or chilled goat short forequarters",,,,,,
"51845","6","020450150080","020450110010","0204 50 15",,,"- - - Chines and/or best ends","Fresh or chilled goat chines and/or best ends",,,,,,
"51846","6","020450190080","020450110010","0204 50 19",,,"- - - Legs","Fresh or chilled legs of goat",,,,,,
"51847","6","020450310010","020450110010",,,,"- - - Other",,,,,,,
"51848","7","020450310080","020450310010","0204 50 31",,,"- - - - Cuts with bone in","Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",,,,,,
"51849","7","020450390080","020450310010","0204 50 39",,,"- - - - Boneless cuts","Fresh or chilled boneless cuts of goat",,,,,,
"51850","5","020450510010","020450000080",,"0204 50",,"- - Frozen",,,,,,,
"51851","6","020450510080","020450510010","0204 50 51",,,"- - - Carcases and half-carcases","Frozen goat carcases and half-carcases",,,,,,
"51852","6","020450530080","020450510010","0204 50 53",,,"- - - Short forequarters","Frozen goat short forequarters",,,,,,
"51853","6","020450550080","020450510010","0204 50 55",,,"- - - Chines and/or best ends","Frozen goat chines and/or best ends",,,,,,
"51854","6","020450590080","020450510010","0204 50 59",,,"- - - Legs","Frozen goat legs",,,,,,
"51855","6","020450710010","020450510010",,,,"- - - Other",,,,,,,
"51856","7","020450710080","020450710010","0204 50 71",,,"- - - - Cuts with bone in","Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",,,,,,
"51857","7","020450790080","020450710010","0204 50 79",,,"- - - - Boneless cuts","Frozen boneless cuts of goat",,,,,,
"51858","3","020500000080","020020000090","0205 00","02",,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",,,,,,
"51859","4","020500200080","020500000080","0205 00 20","0205 00",,"- Fresh or chilled","Fresh or chilled meat of horses, asses, mules or hinnies",,,,,,
