"Order","Level","Code","Parent","Code","Parent","Supplementary unit","Description","Self-explanatory texts","Description of supplementary unit","Unit","Explanatory notes","Unit","Illustration","Illustration"
"57970","6","392490110080","392490110010","3924 90 11",,,"- - - Sponges","Sponges for household or toilet purposes, of regenerated cellulose",,,,,,
"57971","6","392490190080","392490110010","3924 90 19",,,"- - - Other","Household articles and toilet articles, of regenerated cellulose (excl. tableware, kitchenware, baths, shower-baths, washbasins, bidets, lavatory pans, seats and covers, flushing cisterns and similar sanitary ware)",,,,,,
"57972","5","392490900080","392490000080","3924 90 90","3924 90",,"- - Other","Household articles and toilet articles, of plastics other than regenerated cellulose (excl. tableware, kitchenware, baths, shower-baths, washbasins, bidets, lavatory pans, seats and covers, flushing cisterns and similar sanitary ware)",,,,,,
"57973","3","392500000080","390020000090","3925","39",,"Builders' ware of plastics, not elsewhere specified or included","Builders' ware of plastics, n.e.s.",,,,,,
"57974","4","392510000080","392500000080","3925 10 00","3925",,"- Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 litres","Reservoirs, tanks, vats and similar containers, of plastics, with a capacity of > 300 l",,,,,,
"57975","4","392520000080","392500000080","3925 20 00","3925","p/st","- Doors, windows and their frames and thresholds for doors","Doors, windows and their frames and thresholds for doors, of plastics","Number of items",,,,,
"57976","4","392530000080","392500000080","3925 30 00","3925",,"- Shutters, blinds (including venetian blinds) and similar articles and parts thereof","Shutters, blinds, incl. Venetian blinds, and similar articles and parts thereof, of plastics (excl. fittings and similar articles)",,,,,,
"57977","4","392590000080","392500000080","3925 90","3925",,"- Other","Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., of plastic; gutters and accessories of plastic; railings, fences and similar barriers, of plastic; large shelves, for assembly and permanent installation in shops, workshops, etc., of plastic; architectural ornaments, e.g. friezes, of plastic; fittings and similar products for permanent mounting on buildings, of plastic",,,,,,
"57978","5","392590100080","392590000080","3925 90 10","3925 90",,"- - Fittings and mountings intended for permanent installation in or on doors, windows, staircases, walls or other parts of buildings","Fittings and mountings intended for permanent installation in or on doors, windows, staircases, walls or other parts of buildings, of plastics",,,,,,
"57979","5","392590200080","392590000080","3925 90 20","3925 90",,"- - Trunking, ducting and cable trays for electrical circuits","Trunking, ducting and cable trays for electrical circuits, of plastic",,,,,,
"57980","5","392590800080","392590000080","3925 90 80","3925 90",,"- - Other","Builders' ware for the manufacture of flooring, walls, partition walls, ceilings, roofing, etc. guttering and accessories, banisters, fences and the like, fitted shelving for shops, factories, warehouses, storerooms, etc., architectural ornaments such as fluting, vaulting and friezes, of plastic, n.e.s.",,,,,,
"57981","3","392600000080","390020000090","3926","39",,"Other articles of plastics and articles of other materials of headings 3901 to 3914","Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s.",,,,,,
"57982","4","392610000080","392600000080","3926 10 00","3926",,"- Office or school supplies","Office or school supplies, of plastics, n.e.s.",,,,,,
"57983","4","392620000080","392600000080","3926 20 00","3926",,"- Articles of apparel and clothing accessories (including gloves, mittens and mitts)","Articles of apparel and clothing accessories produced by the stitching or sticking together of plastic sheeting, incl. gloves, mittens and mitts",,,,,,
"57984","4","392630000080","392600000080","3926 30 00","3926",,"- Fittings for furniture, coachwork or the like","Fittings for furniture, coachwork and the like, of plastics (excl. building components for permanent mounting on parts of buildings)",,,,,,
"57985","4","392640000080","392600000080","3926 40 00","3926",,"- Statuettes and other ornamental articles","Statuettes and other ornamental articles, of plastics",,,,,,
"57986","4","392690000080","392600000080","3926 90","3926",,"- Other","Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s",,,,,,
"57987","5","392690100080","392690000080","3926 90 10","3926 90",,"- - For technical uses, for use in civil aircraft","Articles for technical use, of plastics or other materials of heading 3901 to 3914, for civil aircraft, n.e.s.",,,,,,
"57988","5","392690500010","392690000080",,"3926 90",,"- - Other",,,,,,,
"57989","6","392690500080","392690500010","3926 90 50",,,"- - - Perforated buckets and similar articles used to filter water at the entrance to drains","Perforated buckets and similar articles used to filter water at the entrance to drains, of plastics",,,,,,
"57990","6","392690910010","392690500010",,,,"- - - Other",,,,,,,
"57991","7","392690910080","392690910010","3926 90 91",,,"- - - - Made from sheet","Articles made from plastic sheet, n.e.s.",,,,,,
"57992","7","392690990080","392690910010","3926 90 99",,,"- - - - Other","Articles of plastics or other materials of heading 3901 to 3914, n.e.s. (excl. articles made from sheet)",,,,,,
"57993","2","400020000090","390010000090","40"," VII",,"CHAPTER 40 - RUBBER AND ARTICLES THEREOF","RUBBER AND ARTICLES THEREOF",,,,,,
"57994","3","400100000080","400020000090","4001","40",,"Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip","Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip",,,,,,
"57995","4","400110000080","400100000080","4001 10 00","4001",,"- Natural rubber latex, whether or not prevulcanised","Natural rubber latex, whether or not prevulcanised",,,,,,
"57996","4","400121000010","400100000080",,"4001",,"- Natural rubber in other forms",,,,,,,
"57997","5","400121000080","400121000010","4001 21 00",,,"- - Smoked sheets","Smoked sheets of natural rubber",,,,,,
"57998","5","400122000080","400121000010","4001 22 00",,,"- - Technically specified natural rubber (TSNR)","Technically specified natural rubber ""TSNR""",,,,,,
"57999","5","400129000080","400121000010","4001 29 00",,,"- - Other","Natural rubber in primary forms or in plates, sheets or strip (excl. smoked sheets, technically specified natural rubber ""TSNR"" and natural rubber latex, whether or not prevulcanised)",,,,,,
"58000","4","400130000080","400100000080","4001 30 00","4001",,"- Balata, gutta-percha, guayule, chicle and similar natural gums","Balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip (excl. natural rubber, whether or not prevulcanised)",,,,,,
"58001","3","400200000080","400020000090","4002","40",,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading 4001 with any product of this heading, in primary forms or in plates, sheets or strip","Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of natural rubber, balata, gutta-percha, guayule, chicle or similar types of natural rubber with synthetic rubber or factice, in primary forms or in plates, sheets or strip",,,,,,
"58002","4","400211000010","400200000080",,"4002",,"- Styrene-butadiene rubber (SBR); carboxylated styrene-butadiene rubber (XSBR)",,,,,,,
"58003","5","400211000080","400211000010","4002 11 00",,,"- - Latex","Styrene-butadiene rubber latex ""SBR""; carboxylated styrene-butadiene rubber latex ""XSBR""",,,,,,
"58004","5","400219000080","400211000010","4002 19 00",,,"- - Other","Styrene-butadiene rubber ""SBR""; carboxylated styrene-butadiene rubber ""XSBR"", in primary forms or in plates, sheets or strip (excl. latex)",,,,,,
"58005","4","400220000080","400200000080","4002 20 00","4002",,"- Butadiene rubber (BR)","Butadiene rubber ""BR"", in primary forms or in plates, sheets or strip",,,,,,
"58006","4","400231000010","400200000080",,"4002",,"- Isobutene-isoprene (butyl) rubber (IIR); halo-isobutene-isoprene rubber (CIIR or BIIR)",,,,,,,
"58007","5","400231000080","400231000010","4002 31 00",,,"- - Isobutene-isoprene (butyl) rubber (IIR)","Isobutylene isoprene rubber ""IIR"", in primary forms or in plates, sheets or strip",,,,,,
"58008","5","400239000080","400231000010","4002 39 00",,,"- - Other","Halo-isobutene-isoprene rubber ""CIIR"" or ""BIIR"", in primary forms or in plates, sheets or strip",,,,,,
"58009","4","400241000010","400200000080",,"4002",,"- Chloroprene (chlorobutadiene) rubber (CR)",,,,,,,
"58010","5","400241000080","400241000010","4002 41 00",,,"- - Latex","Chloroprene latex ""chlorobutadiene rubber, CR""",,,,,,
"58011","5","400249000080","400241000010","4002 49 00",,,"- - Other","Chloroprene ""chlorobutadiene rubber, CR"", in primary forms or in plates, sheets or strip (excl. latex)",,,,,,
"58012","4","400251000010","400200000080",,"4002",,"- Acrylonitrile-butadiene rubber (NBR)",,,,,,,
"58013","5","400251000080","400251000010","4002 51 00",,,"- - Latex","Latex of acrylonitrile-butadiene rubber ""NBR""",,,,,,
"58014","5","400259000080","400251000010","4002 59 00",,,"- - Other","Acrylonitrile-butadiene rubber ""NBR"", in primary forms or in plates, sheets or strip (excl. latex)",,,,,,
"58015","4","400260000080","400200000080","4002 60 00","4002",,"- Isoprene rubber (IR)","Isoprene rubber ""IR"", in primary forms or in plates, sheets or strip",,,,,,
"58016","4","400270000080","400200000080","4002 70 00","4002",,"- Ethylene-propylene-non-conjugated diene rubber (EPDM)","Ethylene-propylene diene rubber ""EPDM"", non-conjugated, in primary forms or in plates, sheets or strip",,,,,,
"58017","4","400280000080","400200000080","4002 80 00","4002",,"- Mixtures of any product of heading 4001 with any product of this heading","Mixtures of natural rubber, balata, gutta-percha, guayule, chicle or similar types of natural rubber with synthetic rubber or factice, in primary forms or in plates, sheets or strip",,,,,,
"58018","4","400291000010","400200000080",,"4002",,"- Other",,,,,,,
"58019","5","400291000080","400291000010","4002 91 00",,,"- - Latex","Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip (excl. styrene-butadiene rubber ""SBR"", carboxylated styrene-butadiene rubber ""XSBR"", butadiene rubber ""BR"", isobutylene isoprene rubber ""IIR"", halo-isobutene-isoprene rubber ""CIIR"" or ""BIIR"", chloroprene rubber ""CR"", acrylonitrile-butadiene rubber ""NBR"", isoprene rubber ""IR"" and non-conjugated ethylene-propylene diene rubber ""EPDM"")",,,,,,
"58020","5","400299000080","400291000010","4002 99",,,"- - Other","Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip (excl. latex, styrene-butadiene rubber ""SBR"", carboxylated styrene-butadiene rubber ""XSBR"", butadiene rubber ""BR"", isobutylene isoprene rubber ""IIR"", halo-isobutene-isoprene rubber ""CIIR"" or ""BIIR"", chloroprene rubber ""CR"", acrylonitrile-butadiene rubber ""NBR"", isoprene rubber ""IR"" and non-conjugated ethylene-propylene diene rubber ""EPDM"")",,,,,,
"58021","6","400299100080","400299000080","4002 99 10","4002 99",,"- - - Products modified by the incorporation of plastics","Natural rubber products modified by the incorporation of plastics (excl. depolymerised natural rubber)",,,,,,
"58022","6","400299900080","400299000080","4002 99 90","4002 99",,"- - - Other","Synthetic rubber and factice derived from oils, in primary forms or plates, sheets or strip (excl. latex; styrene-butadiene ""SBR"", carboxylated styrene-butadiene ""XSBR"", butadiene ""BR"" butyl ""IIR"", halo-isobutene-isoprene ""CIIR"" or ""BIIR"", chloroprene -chlorobutadiene- ""CR"", acrylonitrile-butadiene ""NBR"", isoprene ""IR"" or ethylene-propylene-non-conjugated diene ""EPDM"" rubber; products modified by the incorporation of plastics)",,,,,,
"58023","3","400300000080","400020000090","4003 00 00","40",,"Reclaimed rubber in primary forms or in plates, sheets or strip","Reclaimed rubber in primary forms or in plates, sheets or strip",,,,,,
"58024","3","400400000080","400020000090","4004 00 00","40",,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom","Waste, parings and scrap of soft rubber and powders and granules obtained therefrom",,,,,,
"58025","3","400500000080","400020000090","4005","40",,"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip","Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip (excl. mixtures of natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums containing synthetic rubber or factice derived from oils)",,,,,,
"58026","4","400510000080","400500000080","4005 10 00","4005",,"- Compounded with carbon black or silica","Rubber, unvulcanised, compounded with carbon black or silica, in primary forms or in plates, sheets or strip",,,,,,
"58027","4","400520000080","400500000080","4005 20 00","4005",,"- Solutions; dispersions other than those of subheading 4005 10","Compounded rubber, unvulcanised, in the form of solutions or dispersions (excl. rubber compounded with carbon black or silica, and mixtures of natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums containing synthetic rubber or factice derived from oils)",,,,,,
"58028","4","400591000010","400500000080",,"4005",,"- Other",,,,,,,
"58029","5","400591000080","400591000010","4005 91 00",,,"- - Plates, sheets and strip","Compounded rubber, unvulcanised, in the form of plates, sheets or strip (excl. rubber compounded with carbon black or silica, and mixtures of natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums containing synthetic rubber or factice derived from oils)",,,,,,
"58030","5","400599000080","400591000010","4005 99 00",,,"- - Other","Compounded, unvulcanised rubber in primary forms (excl. solutions and dispersions, those containing carbon black or silica, mixtures of natural rubber, balata, gutta-percha, guayule, chicle or similar types of natural rubber with synthetic rubber or factice, and those in the form of plates, sheets or strip)",,,,,,
"58031","3","400600000080","400020000090","4006","40",,"Other forms (for example, rods, tubes and profile shapes) and articles (for example, discs and rings), of unvulcanised rubber","Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and articles of unvulcanised rubber, incl. mixed rubber (excl. plates, sheets and strip which, apart from basic surface-working, have not been cut, or have merely been cut into square or rectangular shapes)",,,,,,
"58032","4","400610000080","400600000080","4006 10 00","4006",,"- ‘Camel-back’ strips for retreading rubber tyres","'Camel-back' strips of unvulcanised rubber, for retreading rubber tyres",,,,,,
"58033","4","400690000080","400600000080","4006 90 00","4006",,"- Other","Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and articles of unvulcanised rubber, incl. mixed rubber (excl. plates, sheets and strip which, apart from basic surface-working, have not been cut, or have merely been cut into square or rectangular shapes, and 'camel-back' strips)",,,,,,
"58034","3","400700000080","400020000090","4007 00 00","40",,"Vulcanised rubber thread and cord","Vulcanised rubber thread and cord (excl. ungimped single thread with a diameter of > 5 mm and textiles combined with rubber thread, e.g. textile-covered thread and cord)",,,,,,
"58035","3","400800000080","400020000090","4008","40",,"Plates, sheets, strip, rods and profile shapes, of vulcanised rubber other than hard rubber","Plates, sheets, strip, rods and profile shapes, of vulcanised rubber (excl. hard rubber)",,,,,,
"58036","4","400811000010","400800000080",,"4008",,"- Of cellular rubber",,,,,,,
"58037","5","400811000080","400811000010","4008 11 00",,,"- - Plates, sheets and strip","Plates, sheets and strip of cellular rubber",,,,,,
"58038","5","400819000080","400811000010","4008 19 00",,,"- - Other","Strip, rods and profile shapes, of cellular rubber",,,,,,
"58039","4","400821000010","400800000080",,"4008",,"- Of non-cellular rubber",,,,,,,
"58040","5","400821000080","400821000010","4008 21",,,"- - Plates, sheets and strip","Plates, sheets and strip, of non-cellular rubber",,,,,,
"58041","6","400821100080","400821000080","4008 21 10","4008 21","m²","- - - Floor coverings and mats","Floor coverings and mats, uncut or simply cut to rectangular or square shape, of non-cellular rubber","Square metre",,,,,
"58042","6","400821900080","400821000080","4008 21 90","4008 21",,"- - - Other","Plates, sheets and strip, of non-cellular rubber (excl. floor coverings and mats)",,,,,,
"58043","5","400829000080","400821000010","4008 29",,,"- - Other","Rods, tubes and profile shapes, of non-cellular rubber",,,,,,
"58044","6","400829100080","400829000080","4008 29 10","4008 29",,"- - - Profile shapes, cut to size, for use in civil aircraft","Profile shapes, cut to size, for use in civil aircraft",,,,,,
"58045","6","400829900080","400829000080","4008 29 90","4008 29",,"- - - Other","Rods, tubes and profile shapes, of non-cellular rubber (excl. profile shapes, cut to size, for use in civil aircraft, subheading 4008.29.10)",,,,,,
"58046","3","400900000080","400020000090","4009","40",,"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber, with or without their fittings (for example, joints, elbows, flanges)","Tubes, pipes and hoses, of vulcanised rubber other than hard rubber, with or without their fittings, e.g. joints, elbows, flanges",,,,,,
"58047","4","400911000010","400900000080",,"4009",,"- Not reinforced or otherwise combined with other materials",,,,,,,
"58048","5","400911000080","400911000010","4009 11 00",,,"- - Without fittings","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), not reinforced or otherwise combined with other materials, without fittings",,,,,,
"58049","5","400912000080","400911000010","4009 12",,,"- - With fittings","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), not reinforced or otherwise combined with other materials, with fittings",,,,,,
"58050","6","400912100080","400912000080","4009 12 10","4009 12",,"- - - Suitable for conducting gases or liquids, for use in civil aircraft","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), not reinforced or otherwise combined with other materials, with fittings, suitable for conducting gases or liquids, for use in civil aircraft",,,,,,
"58051","6","400912900080","400912000080","4009 12 90","4009 12",,"- - - Other","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), with fittings, not reinforced or otherwise combined with other materials (excl. suitable for conducting gases or liquids, for use in civil aircraft of subheading 4009.12.10)",,,,,,
"58052","4","400921000010","400900000080",,"4009",,"- Reinforced or otherwise combined only with metal",,,,,,,
"58053","5","400921000080","400921000010","4009 21 00",,,"- - Without fittings","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined only with metal, without fittings",,,,,,
"58054","5","400922000080","400921000010","4009 22",,,"- - With fittings","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined only with metal, with fittings",,,,,,
"58055","6","400922100080","400922000080","4009 22 10","4009 22",,"- - - Suitable for conducting gases or liquids, for use in civil aircraft","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined only with metal, with fittings, suitable for conducting gases or liquids, for use in civil aircraft",,,,,,
"58056","6","400922900080","400922000080","4009 22 90","4009 22",,"- - - Other","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined only with metal, with fittings (excl. suitable for conducting gases or liquids, for use in civil aircraft of subheading 4009.22.10)",,,,,,
"58057","4","400931000010","400900000080",,"4009",,"- Reinforced or otherwise combined only with textile materials",,,,,,,
"58058","5","400931000080","400931000010","4009 31 00",,,"- - Without fittings","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined only with textile materials, without fittings",,,,,,
"58059","5","400932000080","400931000010","4009 32",,,"- - With fittings","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined only with textile materials, with fittings",,,,,,
"58060","6","400932100080","400932000080","4009 32 10","4009 32",,"- - - Suitable for conducting gases or liquids, for use in civil aircraft","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined only with textile materials, with fittings, suitable for conducting gases or liquids, for use in civil aircraft",,,,,,
"58061","6","400932900080","400932000080","4009 32 90","4009 32",,"- - - Other","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined only with textile materials, with fittings (excl. suitable for conducting gases or liquids, for use in civil aircraft of subheading 4009.32.10)",,,,,,
"58062","4","400941000010","400900000080",,"4009",,"- Reinforced or otherwise combined with other materials",,,,,,,
"58063","5","400941000080","400941000010","4009 41 00",,,"- - Without fittings","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined with materials other than metal or textile materials, without fittings",,,,,,
"58064","5","400942000080","400941000010","4009 42",,,"- - With fittings","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined with materials other than metal or textile materials, with fittings",,,,,,
"58065","6","400942100080","400942000080","4009 42 10","4009 42",,"- - - Suitable for conducting gases or liquids, for use in civil aircraft","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined only with other materials other than metal or textile materials, with fittings, suitable for conducting gases or liquids, for use in civil aircraft",,,,,,
"58066","6","400942900080","400942000080","4009 42 90","4009 42",,"- - - Other","Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), reinforced or otherwise combined with materials other than metal or textile materials, with fittings (excl. suitable for conducting gases or liquids, for use in civil aircraft of subheading 4009.42.10)",,,,,,
"58067","3","401000000080","400020000090","4010","40",,"Conveyor or transmission belts or belting, of vulcanised rubber","Conveyor or transmission belts or belting, of vulcanised rubber",,,,,,
"58068","4","401011000010","401000000080",,"4010",,"- Conveyor belts or belting",,,,,,,
"58069","5","401011000080","401011000010","4010 11 00",,,"- - Reinforced only with metal","Conveyor belts or belting, of vulcanised rubber, reinforced only with metal",,,,,,
"58070","5","401012000080","401011000010","4010 12 00",,,"- - Reinforced only with textile materials","Conveyor belts or belting, of vulcanised rubber, reinforced only with textile materials",,,,,,
"58071","5","401013000080","401011000010","4010 13 00",,,"- - Reinforced only with plastics","Conveyor belts or belting, of vulcanised rubber, reinforced only with plastics (other than textile materials)",,,,,,
"58072","5","401019000080","401011000010","4010 19 00",,,"- - Other","Conveyor belts or belting, of vulcanised rubber (excl. reinforced only with metal, only with textile materials or only with plastics)",,,,,,
"58073","4","401031000010","401000000080",,"4010",,"- Transmission belts or belting",,,,,,,
"58074","5","401031000080","401031000010","4010 31 00",,,"- - Endless transmission belts of trapezoidal cross-section (V-belts), V-ribbed, of an outside circumference exceeding 60 cm but not exceeding 180 cm","Endless transmission belts of trapezoidal cross-section ""V-belts"", of vulcanised rubber, V-ribbed, of an outside circumference > 60 cm but <= 180 cm",,,,,,
"58075","5","401032000080","401031000010","4010 32 00",,,"- - Endless transmission belts of trapezoidal cross-section (V-belts), other than V-ribbed, of an outside circumference exceeding 60 cm  but not exceeding 180 cm","Endless transmission belts of trapezoidal cross-section ""V-belts"", of vulcanised rubber, of an outside circumference > 60 cm but <= 180 cm (excl. V-ribbed)",,,,,,
"58076","5","401033000080","401031000010","4010 33 00",,,"- - Endless transmission belts of trapezoidal cross-section (V-belts), V-ribbed, of an outside circumference exceeding 180 cm  but not exceeding 240 cm","Endless transmission belts of trapezoidal cross-section ""V-belts"", of vulcanised rubber, V-ribbed, of an outside circumference > 180 cm but <= 240 cm",,,,,,
"58077","5","401034000080","401031000010","4010 34 00",,,"- - Endless transmission belts of trapezoidal cross-section (V-belts), other than V-ribbed, of an outside circumference exceeding 180 cm  but not exceeding 240 cm","Endless transmission belts of trapezoidal cross-section ""V-belts"", of vulcanised rubber, of an outside circumference > 180 cm but <= 240 cm (excl. V-ribbed)",,,,,,
"58078","5","401035000080","401031000010","4010 35 00",,,"- - Endless synchronous belts, of an outside circumference exceeding 60 cm but not exceeding 150 cm","Endless synchronous belts, of vulcanised rubber, of an outside circumference > 60 cm but <= 150 cm",,,,,,
"58079","5","401036000080","401031000010","4010 36 00",,,"- - Endless synchronous belts, of an outside circumference exceeding 150 cm but not exceeding 198 cm","Endless synchronous belts, of vulcanised rubber, of an outside circumference > 150 cm but <= 198 cm",,,,,,
"58080","5","401039000080","401031000010","4010 39 00",,,"- - Other","Transmission belts or belting, of vulcanised rubber (excl. endless transmission belts of trapezoidal cross-section ""V-belts"", V-ribbed, of an outside circumference > 60 cm but <= 240 cm and endless synchronous belts of an outside circumference > 60 cm but <= 198 cm)",,,,,,
"58081","3","401100000080","400020000090","4011","40",,"New pneumatic tyres, of rubber","New pneumatic tyres, of rubber",,,,,,
"58082","4","401110000080","401100000080","4011 10 00","4011","p/st","- Of a kind used on motor cars (including station wagons and racing cars)","New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing cars","Number of items",,,,,
"58083","4","401120000080","401100000080","4011 20","4011",,"- Of a kind used on buses or lorries","New pneumatic tyres, of rubber, of a kind used for buses and lorries (excl. typres with lug, corner or similar treads)",,,,,,
"58084","5","401120100080","401120000080","4011 20 10","4011 20","p/st","- - With a load index not exceeding 121","Pneumatic tyres, new, of rubber, of a kind used for buses or lorries, with a load index of <= 121","Number of items",,,,,
"58085","5","401120900080","401120000080","4011 20 90","4011 20","p/st","- - With a load index exceeding 121","Pneumatic tyres, new, of rubber, of a kind used for buses or lorries, with a load index of > 121","Number of items",,,,,
"58086","4","401130000080","401100000080","4011 30","4011",,"- Of a kind used on aircraft","New pneumatic tyres, of rubber, of a kind used for aircraft",,,,,,
"58087","5","401130100080","401130000080","4011 30 10","4011 30","p/st","- - For use on civil aircraft","New pneumatic tyres, of rubber, of a kind used for civil aircraft","Number of items",,,,,
"58088","5","401130900080","401130000080","4011 30 90","4011 30","p/st","- - Other","New pneumatic tyres, of rubber, of a kind used for aircraft (excl. civil of subheading 4011.30.10)","Number of items",,,,,
"58089","4","401140000080","401100000080","4011 40","4011",,"- Of a kind used on motorcycles","New pneumatic tyres, of rubber, of a kind used for motorcycles",,,,,,
"58090","5","401140200080","401140000080","4011 40 20","4011 40","p/st","- - For rims with a diameter not exceeding 33 cm","Pneumatic tyres, new, of rubber, of a kind used for motorcycles, for rims with a diameter of <= 33 cm","Number of items",,,,,
"58091","5","401140800080","401140000080","4011 40 80","4011 40","p/st","- - Other","Pneumatic tyres, new, of rubber, of a kind used for motorcycles, for rims with a diameter of > 33 cm","Number of items",,,,,
"58092","4","401150000080","401100000080","4011 50 00","4011","p/st","- Of a kind used on bicycles","New pneumatic tyres, of rubber, of a kind used for bicycles","Number of items",,,,,
"58093","4","401161000010","401100000080",,"4011",,"- Other, having a ‘herring-bone’ or similar tread",,,,,,,
"58094","5","401161000080","401161000010","4011 61 00",,"p/st","- - Of a kind used on agricultural or forestry vehicles and machines","Pneumatic tyres, new, of rubber, having a ""herring-bone"" or similar tread, of a kind used on agricultural or forestry vehicles and machines","Number of items",,,,,
"58095","5","401162000080","401161000010","4011 62 00",,"p/st","- - Of a kind used on construction or industrial handling vehicles and machines and having a rim size not exceeding 61 cm","Pneumatic tyres, new, of rubber, having a ""herring-bone"" or similar tread, of a kind used on construction or industrial handling vehicles and machines and having a rim size <= 61 cm","Number of items",,,,,
"58096","5","401163000080","401161000010","4011 63 00",,"p/st","- - Of a kind used on construction or industrial handling vehicles and machines and having a rim size exceeding 61 cm","Pneumatic tyres, new, of rubber, having a ""herring-bone"" or similar tread, of a kind used on construction or industrial handling vehicles and machines and having a rim size > 61 cm","Number of items",,,,,
"58097","5","401169000080","401161000010","4011 69 00",,"p/st","- - Other","Pneumatic tyres, new, of rubber, having a ""herring-bone"" or similar tread (excl. of a kind used on agricultural or forestry and construction or industrial handling vehicles and machines)","Number of items",,,,,
"58098","4","401192000010","401100000080",,"4011",,"- Other",,,,,,,
"58099","5","401192000080","401192000010","4011 92 00",,"p/st","- - Of a kind used on agricultural or forestry vehicles and machines","Pneumatic tyres, of rubber, new, of a kind used on agricultural or forestry vehicles and machines (excl. having a ""herring-bone"" or similar tread)","Number of items",,,,,
"58100","5","401193000080","401192000010","4011 93 00",,"p/st","- - Of a kind used on construction or industrial handling vehicles and machines and having a rim size not exceeding 61 cm","Pneumatic tyres, new, of rubber, of a kind used on construction or industrial handling vehicles and machines and having a rim size <= 61 cm (excl. having a ""herring-bone"" or similar tread)","Number of items",,,,,
"58101","5","401194000080","401192000010","4011 94 00",,"p/st","- - Of a kind used on construction or industrial handling vehicles and machines and having a rim size exceeding 61 cm","Pneumatic tyres, new, of rubber, of a kind used on construction or industrial handling vehicles and machines and having a rim size > 61 cm (excl. having a ""herring-bone"" or similar tread)","Number of items",,,,,
"58102","5","401199000080","401192000010","4011 99 00",,"p/st","- - Other","Pneumatic tyres, new, of rubber (excl. having a ""herring-bone"" or similar tread and pneumatic tyres of a kind used on agricultural or forestry and construction or industrial handling vehicles and machines, on motor cars, station wagons, racing cars, buses, lorries, aircraft, motorcycles and bicycles)","Number of items",,,,,
"58103","3","401200000080","400020000090","4012","40",,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",,,,,,
"58104","4","401211000010","401200000080",,"4012",,"- Retreaded tyres",,,,,,,
"58105","5","401211000080","401211000010","4012 11 00",,"p/st","- - Of a kind used on motor cars (including station wagons and racing cars)","Retreaded pneumatic tyres, of rubber, of a kind used on motor cars ""incl. station wagons and racing cars""","Number of items",,,,,
"58106","5","401212000080","401211000010","4012 12 00",,"p/st","- - Of a kind used on buses or lorries","Retreaded pneumatic tyres, of rubber, of a kind used on buses or lorries","Number of items",,,,,
"58107","5","401213000080","401211000010","4012 13",,,"- - Of a kind used on aircraft","Retreaded pneumatic tyres, of rubber, of a kind used on aircraft",,,,,,
