cn2003	pc2003	many_one	one_many	many_many	simple	pc8plus	synthetic	notpc
"17029010"	"15622190"	1	0	0	0	"15622190"	0	0
"17029030"	"15622120"	1	0	0	0	"15622120"	0	0
"17029050"	"15622130"	0	0	0	1	"15622130"	0	0
"17029060"	"15622190"	1	0	0	0	"15622190"	0	0
"17029071"	"15622140"	0	0	0	1	"15622140"	0	0
"17029075"	"15622150"	1	0	0	0	"15622150"	0	0
"17029079"	"15622150"	1	0	0	0	"15622150"	0	0
"17029080"	"15622190"	1	0	0	0	"15622190"	0	0
"17029099"	"15622190"	1	0	0	0	"15622190"	0	0
"17031000"	"15831430"	0	0	0	1	"15831430"	0	0
"17039000"	"15831450"	0	0	0	1	"15831450"	0	0
"17041011"	"15842310"	1	0	0	0	"15842310"	0	0
"17041019"	"15842310"	1	0	0	0	"15842310"	0	0
"17041091"	"15842310"	1	0	0	0	"15842310"	0	0
"17041099"	"15842310"	1	0	0	0	"15842310"	0	0
"17049010"	"15842320"	0	0	0	1	"15842320"	0	0
"17049030"	"15842330"	0	0	0	1	"15842330"	0	0
"17049051"	"15842353"	0	0	0	1	"15842353"	0	0
"17049055"	"15842355"	0	0	0	1	"15842355"	0	0
"17049061"	"15842363"	0	0	0	1	"15842363"	0	0
"17049065"	"15842365"	0	0	0	1	"15842365"	0	0
"17049071"	"15842373"	0	0	0	1	"15842373"	0	0
"17049075"	"15842375"	0	0	0	1	"15842375"	0	0
"17049081"	"15842383"	0	0	0	1	"15842383"	0	0
"17049099"	"15842390"	0	0	0	1	"15842390"	0	0
"18031000"	"15841100"	1	0	0	0	"15841100"	0	0
"18032000"	"15841100"	1	0	0	0	"15841100"	0	0
"18040000"	"15841200"	0	0	0	1	"15841200"	0	0
"18050000"	"15841300"	0	0	0	1	"15841300"	0	0
"18061015"	"15841400"	1	0	0	0	"15841400"	0	0
"18061020"	"15841400"	1	0	0	0	"15841400"	0	0
"18061030"	"15841400"	1	0	0	0	"15841400"	0	0
"18061090"	"15841400"	1	0	0	0	"15841400"	0	0
"18062010"	"15842133"	0	0	0	1	"15842133"	0	0
"18062030"	"15842135"	0	0	0	1	"15842135"	0	0
"18062050"	"15842137"	0	0	0	1	"15842137"	0	0
"18062070"	"15842150"	0	0	0	1	"15842150"	0	0
"18062080"	"15842170"	0	0	0	1	"15842170"	0	0
"18062095"	"15842190"	0	0	0	1	"15842190"	0	0
"18063100"	"15842233"	0	0	0	1	"15842233"	0	0
"18063210"	"15842235"	0	0	0	1	"15842235"	0	0
"18063290"	"15842239"	0	0	0	1	"15842239"	0	0
"18069011"	"15842243"	0	0	0	1	"15842243"	0	0
"18069019"	"15842245"	0	0	0	1	"15842245"	0	0
"18069031"	"15842253"	0	0	0	1	"15842253"	0	0
"18069039"	"15842255"	0	0	0	1	"15842255"	0	0
"18069050"	"15842260"	0	0	0	1	"15842260"	0	0
"18069060"	"15842270"	0	0	0	1	"15842270"	0	0
"18069070"	"15842280"	0	0	0	1	"15842280"	0	0
"18069090"	"15842290"	0	0	0	1	"15842290"	0	0
"19011000"	"15881070"	0	0	0	1	"15881070"	0	0
"19012000"	"15612400"	0	0	0	1	"15612400"	0	0
"19019011"	"15891431"	1	0	0	0	"15891431"	0	0
"19019019"	"15891431"	1	0	0	0	"15891431"	0	0
"19019091"	"15891439"	1	0	0	0	"15891439"	0	0
"19019099"	"15891439"	1	0	0	0	"15891439"	0	0
"19021100"	"15851130"	0	0	0	1	"15851130"	0	0
"19021910"	"15851150"	1	0	0	0	"15851150"	0	0
"19021990"	"15851150"	1	0	0	0	"15851150"	0	0
"19022010"	"15851233"	1	0	0	0	"15851233"	0	0
"19022030"	"15851233"	1	0	0	0	"15851233"	0	0
"19022091"	"15851233"	1	0	0	0	"15851233"	0	0
"19022099"	"15851233"	1	0	0	0	"15851233"	0	0
"19023010"	"15851235"	1	0	0	0	"15851235"	0	0
"19023090"	"15851235"	1	0	0	0	"15851235"	0	0
"19024010"	"15851250"	1	0	0	0	"15851250"	0	0
"19024090"	"15851250"	1	0	0	0	"15851250"	0	0
"19030000"	"15622300"	0	0	0	1	"15622300"	0	0
"19041010"	"15613353"	1	0	0	0	"15613353"	0	0
"19041030"	"15613353"	1	0	0	0	"15613353"	0	0
"19041090"	"15613353"	1	0	0	0	"15613353"	0	0
"19042010"	"15613351"	0	0	0	1	"15613351"	0	0
"19042091"	"15613353"	1	0	0	0	"15613353"	0	0
"19042095"	"15613353"	1	0	0	0	"15613353"	0	0
"19042099"	"15613353"	1	0	0	0	"15613353"	0	0
"19043000"	"15613355"	1	0	0	0	"15613355"	0	0
"19049010"	"15613355"	1	0	0	0	"15613355"	0	0
"19049080"	"15613355"	1	0	0	0	"15613355"	0	0
"19051000"	"15821130"	0	0	0	1	"15821130"	0	0
"19052010"	"15821230"	1	0	0	0	"15821230"	0	0
"19052030"	"15821230"	1	0	0	0	"15821230"	0	0
"19052090"	"15821230"	1	0	0	0	"15821230"	0	0
"19053111"	"15821253"	1	0	0	0	"15821253"	0	0
"19053119"	"15821253"	1	0	0	0	"15821253"	0	0
"19053130"	"15821255"	1	0	0	0	"15821255"	0	0
"19053191"	"15821255"	1	0	0	0	"15821255"	0	0
"19053199"	"15821255"	1	0	0	0	"15821255"	0	0
"19053211"	"15821253"	1	0	0	0	"15821253"	0	0
"19053219"	"15821253"	1	0	0	0	"15821253"	0	0
"19053291"	"15821259"	1	0	0	0	"15821259"	0	0
"19053299"	"15821259"	1	0	0	0	"15821259"	0	0
"19054010"	"15821150"	1	0	0	0	"15821150"	0	0
"19054090"	"15821150"	1	0	0	0	"15821150"	0	0
"19059010"	"15821310"	0	0	0	1	"15821310"	0	0
"19059020"	"15821320"	0	0	0	1	"15821320"	0	0
"19059030"	"15811100"	0	0	0	1	"15811100"	0	0
"19059040"	"15821330"	0	0	0	1	"15821330"	0	0
"19059045"	"15821340"	0	0	0	1	"15821340"	0	0
