cn2003	notpc	hs6plus
"03036011"	0	"886"
"03036019"	0	"886"
"03036090"	0	"886"
"03037110"	0	"886"
"03037130"	0	"886"
"03037180"	0	"886"
"03037200"	0	"886"
"03037300"	0	"886"
"03037430"	0	"886"
"03037490"	0	"886"
"03037520"	0	"886"
"03037550"	0	"886"
"03037590"	0	"886"
"03037600"	0	"886"
"03037700"	0	"886"
"03037811"	0	"886"
"03037812"	0	"886"
"03037813"	0	"886"
"03037819"	0	"886"
"03037890"	0	"886"
"03037911"	0	"886"
"03037919"	0	"886"
"03037921"	0	"886"
"03037923"	0	"886"
"03037929"	0	"886"
"03037931"	0	"886"
"03037935"	0	"886"
"03037937"	0	"886"
"03037941"	0	"886"
"03037945"	0	"886"
"03037951"	0	"886"
"03037955"	0	"886"
"03037958"	0	"886"
"03037965"	0	"886"
"03037971"	0	"886"
"03037975"	0	"886"
"03037981"	0	"886"
"03037983"	0	"886"
"03037985"	0	"886"
"03037987"	0	"886"
"03037988"	0	"886"
"03037991"	0	"886"
"03037992"	0	"886"
"03037993"	0	"886"
"03037994"	0	"886"
"03037998"	0	"886"
"03038010"	0	"030380"
"03038090"	0	"030380"
"03041013"	0	"030410"
"03041015"	0	"030410"
"03041017"	0	"030410"
"03041019"	0	"030410"
"03041031"	0	"030410"
"03041033"	0	"030410"
"03041035"	0	"030410"
"03041038"	0	"030410"
"03041091"	0	"030410"
"03041097"	0	"030410"
"03041098"	0	"030410"
"03042013"	0	"030420"
"03042015"	0	"030420"
"03042017"	0	"030420"
"03042019"	0	"030420"
"03042021"	0	"030420"
"03042029"	0	"030420"
"03042031"	0	"030420"
"03042033"	0	"030420"
"03042035"	0	"030420"
"03042037"	0	"030420"
"03042041"	0	"030420"
"03042043"	0	"030420"
"03042045"	0	"030420"
"03042051"	0	"030420"
"03042053"	0	"030420"
"03042055"	0	"030420"
"03042056"	0	"030420"
"03042058"	0	"030420"
"03042059"	0	"030420"
"03042061"	0	"030420"
"03042069"	0	"030420"
"03042071"	0	"030420"
"03042073"	0	"030420"
"03042075"	0	"030420"
"03042079"	0	"030420"
"03042081"	0	"030420"
"03042083"	0	"030420"
"03042085"	0	"030420"
"03042087"	0	"030420"
"03042088"	0	"030420"
"03042091"	0	"030420"
"03042095"	0	"030420"
"03049005"	0	"030490"
"03049010"	0	"030490"
"03049022"	0	"030490"
"03049031"	0	"030490"
"03049035"	0	"030490"
"03049038"	0	"030490"
"03049039"	0	"030490"
"03049041"	0	"030490"
"03049045"	0	"030490"
"03049047"	0	"030490"
"03049049"	0	"030490"
"03049051"	0	"030490"
"03049055"	0	"030490"
"03049057"	0	"030490"
"03049059"	0	"030490"
"03049061"	0	"030490"
"03049065"	0	"030490"
"03049097"	0	"030490"
"03051000"	0	"23"
"03052000"	0	"23"
"03053011"	0	"030530"
"03053019"	0	"030530"
"03053030"	0	"030530"
"03053050"	0	"030530"
"03053090"	0	"030530"
"03054100"	0	"030541"
"03054200"	0	"030542"
"03054910"	0	"030549"
"03054920"	0	"030549"
"03054930"	0	"030549"
"03054945"	0	"030549"
"03054950"	0	"030549"
"03054980"	0	"030549"
"03055110"	0	"24"
"03055190"	0	"24"
"03055911"	0	"24"
"03055919"	0	"24"
"03055930"	0	"24"
"03055950"	0	"24"
"03055960"	0	"24"
"03055970"	0	"24"
"03055990"	0	"24"
"03056100"	0	"24"
"03056200"	0	"24"
"03056300"	0	"24"
"03056910"	0	"24"
"03056920"	0	"24"
"03056930"	0	"24"
"03056950"	0	"24"
"03056990"	0	"24"
"03061110"	0	"25"
"03061190"	0	"25"
"03061210"	0	"25"
"03061290"	0	"25"
"03061310"	0	"25"
"03061330"	0	"25"
"03061340"	0	"25"
"03061350"	0	"25"
"03061380"	0	"25"
"03061410"	0	"25"
"03061430"	0	"25"
"03061490"	0	"25"
"03061910"	0	"25"
"03061930"	0	"25"
"03061990"	0	"25"
"03062100"	1	""
"03062210"	1	""
"03062291"	1	""
"03062299"	1	""
"03062310"	1	""
"03062331"	1	""
"03062339"	1	""
"03062390"	1	""
"03062410"	1	""
"03062430"	1	""
"03062490"	1	""
"03062910"	1	""
"03062930"	1	""
"03062990"	1	""
"03071010"	1	""
"03071090"	1	""
"03072100"	1	""
"03072910"	0	"26"
"03072990"	0	"26"
"03073110"	1	""
"03073190"	1	""
"03073910"	0	"26"
"03073990"	0	"26"
"03074110"	1	""
"03074191"	1	""
"03074199"	1	""
"03074901"	0	"27"
"03074911"	0	"27"
"03074918"	0	"27"
"03074931"	0	"27"
"03074933"	0	"27"
"03074935"	0	"27"
"03074938"	0	"27"
"03074951"	0	"27"
"03074959"	0	"27"
"03074971"	0	"27"
"03074991"	0	"27"
"03074999"	0	"27"
"03075100"	1	""
"03075910"	0	"27"
"03075990"	0	"27"
"03076000"	1	""
"03079100"	1	""
"03079911"	0	"27"
"03079913"	0	"27"
