cn2005	pc2005	many_one	one_many	many_many	simple	pc8plus	synthetic	_merge
"52052700"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52062400"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52054600"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52054300"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52064400"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52054400"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52052600"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52064200"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52052300"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52062100"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52064300"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
"52052400"	"171043Z2"	1	0	0	0	"171043Z2"	0	1
