new_code;type;pc2003;;;;;;;;;;;;;;;;
-;industrial services;29549200;;;;;;;;;;;;;;;;
-;industrial services;29559100;;;;;;;;;;;;;;;;
-;industrial services;29559200;;;;;;;;;;;;;;;;
-;industrial services;29569100;;;;;;;;;;;;;;;;
-;industrial services;29569200;;;;;;;;;;;;;;;;
-;industrial services;29609100;;;;;;;;;;;;;;;;
-;industrial services;29609200;;;;;;;;;;;;;;;;
-;industrial services;30019000;;;;;;;;;;;;;;;;
-;industrial services;30029000;;;;;;;;;;;;;;;;
-;industrial services;31109100;;;;;;;;;;;;;;;;
-;industrial services;31109200;;;;;;;;;;;;;;;;
-;industrial services;31209100;;;;;;;;;;;;;;;;
-;industrial services;31209200;;;;;;;;;;;;;;;;
-;industrial services;31629100;;;;;;;;;;;;;;;;
-;industrial services;31629200;;;;;;;;;;;;;;;;
-;industrial services;32209100;;;;;;;;;;;;;;;;
-;industrial services;32209200;;;;;;;;;;;;;;;;
-;industrial services;32309100;;;;;;;;;;;;;;;;
-;industrial services;32309200;;;;;;;;;;;;;;;;
-;industrial services;33109100;;;;;;;;;;;;;;;;
-;industrial services;33109200;;;;;;;;;;;;;;;;
-;industrial services;33209100;;;;;;;;;;;;;;;;
-;industrial services;33209200;;;;;;;;;;;;;;;;
-;industrial services;33301000;;;;;;;;;;;;;;;;
-;industrial services;33409200;;;;;;;;;;;;;;;;
-;industrial services;33509100;;;;;;;;;;;;;;;;
-;industrial services;33509200;;;;;;;;;;;;;;;;
-;industrial services;35119100;;;;;;;;;;;;;;;;
-;industrial services;35119200;;;;;;;;;;;;;;;;
-;industrial services;35119350;;;;;;;;;;;;;;;;
-;industrial services;35129000;;;;;;;;;;;;;;;;
-;industrial services;35209100;;;;;;;;;;;;;;;;
-;industrial services;35209200;;;;;;;;;;;;;;;;
-;industrial services;35309100;;;;;;;;;;;;;;;;
-;industrial services;35309230;;;;;;;;;;;;;;;;
-;industrial services;35309250;;;;;;;;;;;;;;;;
-;industrial services;35309270;;;;;;;;;;;;;;;;
-;industrial services;36309200;;;;;;;;;;;;;;;;
-;no cn correspondence;36637740;;;;;;;;;;;;;;;;
-;no cn correspondence;36637750;;;;;;;;;;;;;;;;
-;no cn correspondence;36637770;;;;;;;;;;;;;;;;
-;no cn correspondence;40301003;;;;;;;;;;;;;;;;
-;no cn correspondence;40301005;;;;;;;;;;;;;;;;
-;no cn correspondence;40301007;;;;;;;;;;;;;;;;
-;no cn correspondence;40301009;;;;;;;;;;;;;;;;
